cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
atrpxsymbol=mid|NEARUSDT,378,50.0,0.0007,1.01,0.3,51,6.77,1.0,187,0.005,191,-0.003,0.08,200,50.0,
atrpxsymbol=lo|BNBUSDT,364,50.0,-0.03,0.79,-10.9,48,inf,inf,207,-0.027,157,-0.034,0.11,152,52.6,
atrpxsymbol=lo|XLMUSDT,64,50.0,-0.0427,0.76,-2.7,21,inf,inf,12,0.048,52,-0.064,0.17,48,50.0,
atrpxsymbol=lo|NMRUSDT,44,50.0,-0.0154,0.91,-0.7,17,inf,inf,12,-0.01,32,-0.017,0.18,26,50.0,
atrpxsymbol=lo|1000PEPEUSDT,30,50.0,0.0283,1.19,0.8,8,0.87,1.0,14,-0.029,16,0.078,0.23,27,48.1,
atrpxsymbol=lo|DOTUSDT,66,50.0,-0.0252,0.83,-1.7,17,inf,inf,8,0.067,58,-0.038,0.14,51,51.0,
atrpxvolz=lo|>=5,176,50.0,-0.0133,0.91,-2.3,30,inf,inf,84,-0.047,92,0.017,0.15,116,51.7,
breadthxdecile_band=2-3|D2-3,3380,50.0,-0.0066,0.94,-22.5,43,inf,inf,1318,0.005,2062,-0.014,0.09,2070,48.7,
breadthxhour_band=1|0-5,1792,50.0,-0.0011,0.99,-2.0,48,inf,inf,640,0.006,1152,-0.005,0.08,1137,50.2,
breadthxoid=2-3|mid,3290,50.0,-0.0052,0.96,-17.0,42,inf,inf,1361,0.008,1929,-0.015,0.1,1926,49.0,
breadthxstrategy=NA|late_fade,156,50.0,0.0144,1.34,2.2,14,1.63,0.47,153,0.014,0,,0.11,0,,
breadthxsymbol=NA|DASHUSDT,122,50.0,-0.0358,0.76,-4.4,13,inf,inf,122,-0.036,0,,0.16,0,,
breadthxsymbol=1|ZECUSDT,506,50.0,-0.0058,0.94,-2.9,49,inf,inf,184,-0.003,322,-0.007,0.06,298,48.3,
breadthxsymbol=1|1000LUNCUSDT,128,50.0,0.007,1.06,0.9,34,0.94,1.0,44,-0.046,84,0.035,0.12,83,49.4,
breadthxsymbol=2-3|PENDLEUSDT,70,50.0,0.0129,1.1,0.9,27,0.67,1.0,26,-0.034,44,0.041,0.14,40,52.5,
breadthxsymbol=1|RENDERUSDT,124,50.0,0.0272,1.24,3.4,35,0.24,1.0,34,0.046,90,0.02,0.09,89,52.8,Y
breadthxsymbol=2-3|NMRUSDT,38,50.0,-0.015,0.9,-0.6,12,inf,inf,10,-0.065,28,0.003,0.13,26,50.0,
breadthxsymbol=1|DOTUSDT,228,50.0,-0.0108,0.92,-2.5,41,inf,inf,80,0.032,148,-0.034,0.13,154,50.6,
concximb=4-5|<0.5,30,50.0,0.0527,1.44,1.6,5,1.2,0.74,30,0.053,0,,0.17,0,,
concxoid=2-3|NA,54,50.0,0.0336,1.48,1.8,10,0.47,0.38,31,0.052,23,0.008,0.02,11,63.6,
concxsymbol=>=6|RENDERUSDT,122,50.0,0.0325,1.33,4.0,22,0.49,1.0,122,0.032,0,,0.08,0,,
concxsymbol=0-1|ENAUSDT,232,50.0,0.0098,1.1,2.3,33,0.66,1.0,28,0.099,204,-0.002,0.09,232,50.0,
concxsymbol=2-3|ADAUSDT,458,50.0,-0.0029,0.97,-1.3,39,inf,inf,96,0.011,362,-0.007,0.07,141,47.5,
concxsymbol=2-3|ICPUSDT,166,50.0,-0.0257,0.82,-4.3,32,inf,inf,41,-0.002,125,-0.034,0.13,64,46.9,
concxsymbol=2-3|DOGEUSDT,228,50.0,0.0033,1.03,0.8,10,2.83,1.0,0,,228,0.003,0.08,32,56.2,
concxsymbol=0-1|PUMPUSDT,42,50.0,-0.0279,0.71,-1.2,8,inf,inf,0,,42,-0.028,0.02,42,50.0,
concxweekday=2-3|1,1734,50.0,-0.0005,0.99,-0.9,5,inf,inf,365,0.028,1369,-0.008,0.07,623,49.8,
decile_bandximb=D10|<0.5,1294,50.0,0.0056,1.04,7.2,60,0.62,0.59,661,0.007,630,0.004,0.14,410,49.8,
decile_bandxsym_state=D4-9|neutral,2316,50.0,-0.0014,0.99,-3.2,46,inf,inf,908,0.009,1408,-0.008,0.12,1088,50.2,
decile_bandxsymbol=D2-3|NMRUSDT,150,50.0,0.0216,1.18,3.2,34,0.39,1.0,75,0.008,69,0.02,0.13,71,50.7,Y
decile_bandxsymbol=D2-3|QNTUSDT,190,50.0,0.0094,1.08,1.8,41,0.94,1.0,83,0.009,105,0.009,0.12,103,51.5,
decile_bandxsymbol=D4-9|FILUSDT,178,50.0,0.0337,1.32,6.0,43,0.2,1.0,101,0.022,77,0.05,0.12,56,50.0,Y
decile_bandxsymbol=D10|XLMUSDT,110,50.0,-0.0068,0.95,-0.7,34,inf,inf,69,-0.0,41,-0.018,0.12,18,50.0,
fundxsymbol=NA|SOLUSDT,92,50.0,0.0612,1.78,5.6,6,0.79,1.0,55,0.097,4,0.057,0.1,7,57.1,
fundxsymbol=pos|APTUSDT,148,50.0,0.0182,1.16,2.7,30,0.34,1.0,68,0.029,80,0.009,0.14,49,49.0,Y
fundxsymbol=flat|ENAUSDT,924,50.0,0.0059,1.06,5.4,57,0.45,1.0,337,0.008,587,0.005,0.08,340,49.7,
fundxsymbol=neg|UNIUSDT,102,50.0,-0.0176,0.85,-1.8,23,inf,inf,49,-0.03,53,-0.006,0.08,48,47.9,
fundxsymbol=pos|BNBUSDT,174,50.0,-0.0136,0.89,-2.4,21,inf,inf,67,-0.011,107,-0.015,0.11,36,52.8,
fundxsymbol=flat|AVAXUSDT,56,50.0,-0.0562,0.67,-3.1,6,inf,inf,0,,56,-0.056,0.16,11,45.5,
hour_bandxstrategy=0-5|setup_fade,1318,50.0,0.0059,1.04,7.8,62,0.88,0.69,615,0.019,703,-0.005,0.1,621,51.2,
hour_bandxsymbol=18-23|NMRUSDT,76,50.0,-0.046,0.74,-3.5,25,inf,inf,44,-0.09,27,-0.038,0.18,29,51.7,
hour_bandxsymbol=18-23|ADAUSDT,218,50.0,-0.0126,0.87,-2.8,47,inf,inf,108,-0.001,108,-0.024,0.07,69,52.2,
hour_bandxsymbol=18-23|ICPUSDT,170,50.0,-0.0215,0.83,-3.6,38,inf,inf,83,-0.027,85,-0.018,0.09,67,49.3,
hour_bandxsymbol=6-11|QNTUSDT,80,50.0,-0.0084,0.94,-0.7,26,inf,inf,33,-0.01,47,-0.007,0.14,36,50.0,
hour_bandxsymbol=18-23|ENAUSDT,266,50.0,-0.0053,0.94,-1.4,44,inf,inf,97,0.008,169,-0.013,0.08,114,46.5,
hour_bandxsymbol=0-5|RUNEUSDT,98,50.0,-0.0012,0.99,-0.1,22,inf,inf,50,-0.025,48,0.024,0.06,40,50.0,
hour_bandxsymbol=6-11|TAOUSDT,164,50.0,0.0022,1.02,0.4,38,3.39,1.0,75,0.049,89,-0.037,0.06,60,48.3,
hour_bandxsymbol=18-23|PENGUUSDT,32,50.0,-0.0526,0.44,-1.7,7,inf,inf,0,,32,-0.053,0.03,6,83.3,
hour_bandxsymbol=0-5|HYPEUSDT,72,50.0,0.0185,1.23,1.3,9,0.78,1.0,0,,72,0.019,0.03,25,56.0,
hour_bandxsymbol=6-11|DOGEUSDT,76,50.0,0.0286,1.3,2.2,8,0.86,1.0,0,,76,0.029,0.09,23,52.2,
hour_bandxsymbol=6-11|AVAXUSDT,36,50.0,-0.0586,0.62,-2.1,8,inf,inf,0,,36,-0.059,0.08,11,45.5,
hour_bandxvolz=18-23|NA,576,50.0,0.0039,1.04,2.3,10,1.54,0.7,500,0.001,9,-0.176,0.09,11,27.3,
imbxsymbol=<0.5|PENDLEUSDT,94,50.0,-0.0175,0.87,-1.6,25,inf,inf,40,-0.07,54,0.021,0.09,43,51.2,
imbxsymbol=<0.5|RUNEUSDT,178,50.0,0.0239,1.23,4.3,25,0.43,1.0,95,0.026,83,0.021,0.12,84,51.2,
imbxsymbol=<0.5|RENDERUSDT,46,50.0,0.0191,1.19,0.9,11,0.51,1.0,32,0.024,14,0.008,0.07,10,50.0,
imbxsymbol=<0.5|NMRUSDT,72,50.0,-0.0063,0.96,-0.5,15,inf,inf,48,0.002,24,-0.024,0.12,19,47.4,
imbxsymbol=>=0.5|TRUMPUSDT,262,50.0,-0.0167,0.82,-4.4,10,inf,inf,0,,262,-0.017,0.05,147,54.4,
mktbxsymbol=<30|NMRUSDT,288,50.0,-0.0027,0.98,-0.8,47,inf,inf,172,0.009,116,-0.02,0.13,119,49.6,
mktbxsymbol=>=60|XRPUSDT,38,50.0,-0.0027,0.97,-0.1,2,inf,inf,0,,38,-0.003,0.11,18,50.0,
oidxspread=NA|<2,46,50.0,0.027,1.22,1.2,11,0.76,0.56,21,0.021,25,0.032,0.11,27,48.1,
oidxstrategy=NA|late_fade,156,50.0,0.0144,1.34,2.2,14,1.63,0.47,153,0.014,0,,0.11,0,,
oidxstrategy=mid|follow_3h_all,36,50.0,0.0378,1.32,1.4,16,0.93,0.94,6,-0.051,30,0.056,0.0,26,50.0,
oidxsymbol=NA|DASHUSDT,124,50.0,-0.0358,0.76,-4.4,14,inf,inf,122,-0.036,2,-0.038,0.16,1,100.0,
oidxsymbol=<-0.5|ENAUSDT,264,50.0,-0.0049,0.95,-1.3,36,inf,inf,58,0.001,206,-0.007,0.07,128,48.4,
oidxweekday=mid|0,1820,50.0,-0.005,0.96,-9.0,7,inf,inf,644,-0.011,1176,-0.002,0.1,918,49.9,
regimexstrategy=bear|asia_pump_short_4h,46,50.0,-0.008,0.95,-0.4,8,inf,inf,18,0.141,28,-0.104,0.0,28,39.3,
regimexsym_state=bear|bull,182,50.0,0.0206,1.2,3.8,13,0.82,0.7,26,-0.013,156,0.026,0.1,128,48.4,
regimexsymbol=bear|FILUSDT,166,50.0,-0.0073,0.94,-1.2,18,inf,inf,99,0.015,67,-0.04,0.1,55,49.1,
regimexsymbol=bear|QNTUSDT,70,50.0,-0.0011,0.99,-0.1,16,inf,inf,34,0.01,36,-0.012,0.11,32,50.0,
regimexsymbol=bear|FETUSDT,146,50.0,-0.0308,0.76,-4.5,18,inf,inf,69,-0.017,77,-0.043,0.1,80,51.2,
regimexsymbol=bear|NMRUSDT,74,50.0,0.0015,1.01,0.1,15,11.55,1.0,52,0.011,22,-0.02,0.14,22,50.0,
regimexsymbol=neutral|XLMUSDT,300,50.0,-0.0006,0.99,-0.2,34,inf,inf,199,0.008,101,-0.017,0.1,94,48.9,
regimexsymbol=neutral|RENDERUSDT,164,50.0,0.0204,1.19,3.3,31,0.58,1.0,84,0.047,80,-0.008,0.1,82,52.4,
regimexsymbol=bull|QNTUSDT,118,50.0,0.0229,1.2,2.7,16,0.67,1.0,24,0.064,94,0.012,0.12,62,51.6,
sessionxspread=None|2-5,3706,50.0,-0.0024,0.98,-9.0,49,inf,inf,1019,0.0,2687,-0.003,0.08,1805,49.8,
sidexspread=LONG|>=5,1330,50.0,-0.0028,0.97,-3.7,49,inf,inf,531,-0.004,799,-0.002,0.08,659,49.9,
sidexsymbol=LONG|RENDERUSDT,208,50.0,0.008,1.11,1.7,60,0.62,1.0,96,0.011,109,0.008,0.08,92,47.8,
sidexsymbol=LONG|1000LUNCUSDT,218,50.0,0.0019,1.02,0.4,60,4.35,1.0,107,0.006,109,-0.0,0.11,85,45.9,
sidexsymbol=SHORT|LINKUSDT,60,50.0,-0.0694,0.62,-4.2,10,inf,inf,0,,60,-0.069,0.08,18,61.1,
sidexsymbol=SHORT|HYPEUSDT,142,50.0,0.0036,1.04,0.5,10,2.9,1.0,0,,142,0.004,0.08,68,50.0,
spreadxstrategy=NA|late_fade,156,50.0,0.0144,1.34,2.2,14,1.63,0.47,153,0.014,0,,0.11,0,,
spreadxsymbol=NA|DASHUSDT,122,50.0,-0.0358,0.76,-4.4,13,inf,inf,122,-0.036,0,,0.16,0,,
spreadxvs=<2|Y,586,50.0,0.0047,1.03,2.8,43,2.37,1.44,155,-0.01,431,0.01,0.14,342,50.6,
strategyxsym_state=late_fade|NA,156,50.0,0.0144,1.34,2.2,14,1.63,0.47,153,0.014,0,,0.11,0,,
strategyxsymbol=burst_follow|FETUSDT,76,50.0,-0.0218,0.73,-1.7,32,inf,inf,32,-0.005,43,-0.037,0.04,16,56.2,
strategyxsymbol=ny_flush_buy_4h|WLDUSDT,50,50.0,-0.0648,0.65,-3.2,36,inf,inf,27,-0.136,23,0.019,0.0,16,56.2,
strategyxweekday=setup_fade|5,780,50.0,0.0154,1.09,12.0,9,0.53,0.48,340,0.015,440,0.016,0.11,380,51.3,
strategyxweekday=follow_3h_all|5,90,50.0,-0.0627,0.61,-5.6,4,inf,inf,61,-0.1,29,0.016,0.0,11,36.4,
strategyxweekday=ny_flush_buy_4h|3,88,50.0,0.0373,1.41,3.3,7,0.43,0.34,34,0.023,54,0.046,0.0,27,51.9,
sym_statexsymbol=NA|DASHUSDT,122,50.0,-0.0358,0.76,-4.4,13,inf,inf,122,-0.036,0,,0.16,0,,
sym_statexsymbol=neutral|ENAUSDT,324,50.0,0.0104,1.1,3.4,25,0.47,1.0,194,0.012,130,0.008,0.09,119,49.6,
sym_statexsymbol=bull|UNIUSDT,252,50.0,0.0006,1.01,0.2,19,11.21,1.0,44,0.015,208,-0.002,0.08,118,49.2,
sym_statexsymbol=bull|ADAUSDT,360,50.0,0.0008,1.01,0.3,25,6.31,1.0,12,-0.007,348,0.001,0.07,151,47.0,
sym_statexsymbol=bear|NMRUSDT,36,50.0,-0.0177,0.89,-0.6,9,inf,inf,14,0.008,22,-0.034,0.11,29,48.3,
sym_statexsymbol=bull|PENGUUSDT,128,50.0,-0.0045,0.95,-0.6,7,inf,inf,0,,128,-0.004,0.05,24,54.2,
sym_statexweekday=bear|4,336,50.0,0.0125,1.11,4.2,6,0.2,0.52,140,0.017,196,0.009,0.13,236,50.0,
symbolxv3=ZECUSDT|N,1746,50.0,0.0052,1.06,9.0,59,0.44,1.0,907,0.016,813,-0.007,0.07,618,49.0,
symbolxv3=AVAXUSDT|Y,76,50.0,-0.0581,0.66,-4.4,10,inf,inf,0,,76,-0.058,0.13,34,47.1,
symbolxv3=PUMPUSDT|Y,34,50.0,0.0239,1.23,0.8,6,0.77,1.0,0,,34,0.024,0.09,20,45.0,
symbolxv3=SUIUSDT|Y,52,50.0,0.0224,1.22,1.2,7,1.27,1.0,0,,52,0.022,0.1,33,51.5,
symbolxvolz=XLMUSDT|NA,86,50.0,0.0339,1.38,2.9,7,0.62,1.0,83,0.034,0,,0.07,0,,
symbolxvolz=QNTUSDT|NA,30,50.0,-0.0017,0.99,-0.1,6,inf,inf,28,-0.007,0,,0.13,0,,
symbolxvolz=ARBUSDT|>=5,88,50.0,-0.0012,0.99,-0.1,26,inf,inf,44,0.015,44,-0.017,0.09,33,48.5,
symbolxvolz=NMRUSDT|2-5,84,50.0,0.0007,1.0,0.1,26,15.58,1.0,38,0.033,46,-0.026,0.14,42,47.6,
symbolxvolz=APTUSDT|<2,302,50.0,0.0353,1.38,10.7,54,0.11,1.0,136,0.053,166,0.021,0.1,139,48.2,Y
symbolxvolz=AVAXUSDT|2-5,32,50.0,-0.0724,0.57,-2.3,8,inf,inf,0,,32,-0.072,0.09,14,42.9,
symbolxvs=CHZUSDT|Y,44,50.0,-0.041,0.71,-1.8,19,inf,inf,28,-0.03,14,-0.101,0.14,12,50.0,
symbolxweekday=ADAUSDT|1,166,50.0,-0.0022,0.98,-0.4,9,inf,inf,79,0.03,75,-0.038,0.07,41,48.8,
symbolxweekday=APTUSDT|1,92,50.0,0.0213,1.23,2.0,9,0.59,1.0,28,0.04,54,0.015,0.07,32,46.9,
symbolxweekday=FETUSDT|1,104,50.0,0.0327,1.36,3.4,9,0.47,1.0,51,0.059,44,0.011,0.08,36,47.2,
symbolxweekday=UNIUSDT|1,82,50.0,-0.0319,0.75,-2.6,9,inf,inf,22,-0.053,52,-0.013,0.07,36,52.8,
symbolxweekday=1000LUNCUSDT|1,62,50.0,-0.0008,0.99,-0.0,8,inf,inf,23,0.0,35,-0.009,0.13,35,45.7,
symbolxweekday=QNTUSDT|1,38,50.0,0.0438,1.47,1.7,7,0.45,1.0,16,0.03,20,0.052,0.05,16,50.0,
symbolxweekday=RENDERUSDT|2,62,50.0,0.0121,1.09,0.7,9,1.54,1.0,41,0.043,21,-0.049,0.15,26,46.2,
symbolxweekday=QNTUSDT|2,58,50.0,-0.089,0.55,-5.2,8,inf,inf,32,-0.042,26,-0.147,0.17,21,52.4,
symbolxweekday=RENDERUSDT|3,70,50.0,-0.0029,0.98,-0.2,9,inf,inf,38,0.018,32,-0.028,0.16,35,51.4,
symbolxweekday=CHZUSDT|3,56,50.0,-0.0004,1.0,-0.0,7,inf,inf,18,-0.029,38,0.013,0.07,36,47.2,
symbolxweekday=APTUSDT|3,76,50.0,0.0043,1.03,0.3,9,2.82,1.0,42,0.028,34,-0.025,0.13,31,48.4,
symbolxweekday=1000LUNCUSDT|3,34,50.0,-0.0154,0.91,-0.5,8,inf,inf,20,-0.1,14,0.105,0.21,17,47.1,
symbolxweekday=NMRUSDT|3,34,50.0,-0.0648,0.62,-2.2,6,inf,inf,28,-0.036,6,-0.2,0.12,14,50.0,
symbolxweekday=NMRUSDT|4,52,50.0,0.0234,1.17,1.2,7,1.05,1.0,28,0.055,24,-0.014,0.17,25,48.0,
symbolxweekday=RENDERUSDT|4,58,50.0,0.0152,1.14,0.9,8,1.12,1.0,30,0.018,28,0.012,0.05,16,43.8,
symbolxweekday=QNTUSDT|4,54,50.0,0.0175,1.16,0.9,8,0.81,1.0,28,-0.003,26,0.04,0.11,37,48.6,
symbolxweekday=ENAUSDT|4,236,50.0,0.0248,1.27,5.8,9,0.56,1.0,64,0.037,172,0.02,0.07,114,45.6,
symbolxweekday=DASHUSDT|5,102,50.0,-0.031,0.78,-3.2,9,inf,inf,28,-0.007,74,-0.04,0.13,46,52.2,
symbolxweekday=ARBUSDT|5,90,50.0,0.0485,1.47,4.4,9,0.46,1.0,33,0.037,57,0.055,0.12,44,50.0,
symbolxweekday=1000LUNCUSDT|5,62,50.0,-0.01,0.92,-0.6,9,inf,inf,22,0.023,40,-0.028,0.1,26,50.0,
symbolxweekday=DASHUSDT|6,76,50.0,-0.0179,0.87,-1.4,7,inf,inf,30,-0.077,46,0.021,0.13,16,50.0,
symbolxweekday=ICPUSDT|0,106,50.0,-0.0513,0.65,-5.4,9,inf,inf,60,-0.022,46,-0.09,0.1,40,50.0,
symbolxweekday=RUNEUSDT|0,50,50.0,0.0366,1.32,1.8,7,0.42,1.0,28,0.029,22,0.046,0.14,22,50.0,
symbolxweekday=QNTUSDT|0,44,50.0,0.0179,1.13,0.8,8,2.3,1.0,19,-0.04,25,0.062,0.18,16,50.0,
symbolxweekday=HYPEUSDT|6,62,50.0,-0.0021,0.98,-0.1,2,inf,inf,0,,62,-0.002,0.11,21,38.1,
symbolxweekday=PENGUUSDT|6,50,50.0,-0.0419,0.64,-2.1,2,inf,inf,0,,50,-0.042,0.04,19,57.9,
symbolxweekday=HYPEUSDT|0,46,50.0,-0.0036,0.96,-0.2,2,inf,inf,0,,46,-0.004,0.07,16,50.0,
symbolxweekday=DOGEUSDT|0,32,50.0,-0.0035,0.96,-0.1,2,inf,inf,0,,32,-0.004,0.06,4,50.0,
symbolxweekday=TRUMPUSDT|3,34,50.0,-0.0002,1.0,-0.0,1,inf,inf,0,,34,-0.0,0.09,12,58.3,
symbolxweekend=DASHUSDT|True,178,50.0,-0.0254,0.82,-4.5,16,inf,inf,58,-0.043,120,-0.017,0.13,62,51.6,
symbolxweekend=AVAXUSDT|False,80,50.0,-0.0445,0.69,-3.6,6,inf,inf,0,,80,-0.045,0.11,26,46.2,
v3xweekday=Y|4,1794,50.0,0.0114,1.1,20.5,9,0.38,0.22,961,0.008,833,0.015,0.11,845,51.0,
volzxweekday=>=5|3,308,50.0,0.0151,1.14,4.7,8,0.81,0.35,186,-0.011,122,0.055,0.12,84,50.0,
volzxweekday=>=5|4,462,50.0,-0.0151,0.89,-7.0,8,inf,inf,215,-0.007,247,-0.022,0.11,154,54.5,
strategyxregimexdecile_band=ny_burst_follow|NA|D2-3,34,50.0,-0.0088,0.81,-0.3,2,inf,inf,14,-0.075,0,,0.0,0,,
strategyxweekdayxhour_band=setup_fade|3|0-5,196,50.0,-0.0233,0.88,-4.6,9,inf,inf,109,-0.071,87,0.036,0.07,77,53.2,
strategyxweekdayxhour_band=nony_momentum|3|6-11,62,50.0,-0.0128,0.8,-0.8,6,inf,inf,31,-0.048,31,0.023,0.03,20,55.0,
strategyxweekdayxhour_band=ny_flush_buy_4h|3|12-17,58,50.0,0.0527,1.59,3.1,7,0.61,0.25,25,0.021,33,0.077,0.0,13,53.8,
strategyxweekdayxhour_band=ny_flush_buy_4h|3|18-23,30,50.0,0.0075,1.08,0.2,7,3.71,2.63,9,0.028,21,-0.001,0.0,14,50.0,
strategyxregimexadx=london_burst_fade|bear|20-30,92,50.0,0.0791,1.53,7.3,7,0.84,0.74,44,0.121,48,0.041,0.22,45,48.9,
strategyxsidexregime=asia_pump_short_4h|SHORT|bear,46,50.0,-0.008,0.95,-0.4,8,inf,inf,18,0.141,28,-0.104,0.0,28,39.3,
strategyxregimexbreadth=asia_pump_short_4h|neutral|1,30,50.0,-0.03,0.85,-0.9,16,inf,inf,14,0.099,16,-0.143,0.0,18,44.4,
strategyxweekdayxregime=burst_follow|3|bear,172,50.0,-0.0102,0.86,-1.7,3,inf,inf,154,-0.008,18,-0.033,0.07,26,53.8,
strategyxweekdayxregime=ny_flush_buy_4h|3|neutral,44,50.0,0.0578,1.65,2.5,3,0.56,0.25,28,0.058,16,0.058,0.0,12,33.3,
strategyxweekdayxregime=setup_follow|0|neutral,356,50.0,-0.0009,0.99,-0.3,7,inf,inf,228,-0.002,128,0.0,0.12,139,47.5,
strategyxregimextrig=asia_pump_short_4h|bear|burst,46,50.0,-0.008,0.95,-0.4,8,inf,inf,18,0.141,28,-0.104,0.0,28,39.3,
hour_band=6-11,7133,50.0,-0.0,1.0,-0.1,63,inf,inf,3331,-0.0,3772,0.0,0.09,2782,50.4,
hour_bandxsession=6-11|None,7133,50.0,-0.0,1.0,-0.1,63,inf,inf,3331,-0.0,3772,0.0,0.09,2782,50.4,
hour_bandxvs=6-11|N,7133,50.0,-0.0,1.0,-0.1,63,inf,inf,3331,-0.0,3772,0.0,0.09,2782,50.4,
breadthxvs=1|N,6131,50.0,0.0021,1.02,12.9,49,0.41,0.45,2337,0.005,3794,0.0,0.1,3900,50.1,
atrpxdecile_band=mid|D2-3,8784,50.0,-0.0064,0.94,-56.3,57,inf,inf,4754,-0.002,4030,-0.012,0.09,3724,49.5,
regimexweekend=neutral|True,3401,50.0,-0.0115,0.9,-39.0,11,inf,inf,1977,-0.0,1424,-0.027,0.1,1240,50.0,
v3xvolz=Y|2-5,2819,50.0,-0.0026,0.98,-7.5,56,inf,inf,1049,0.001,1770,-0.005,0.12,1394,49.6,
atrpxoid=lo|mid,2383,50.0,-0.004,0.97,-9.6,47,inf,inf,879,0.001,1504,-0.007,0.13,1564,49.9,
strategyxdecile_bandximb=setup_follow|D2-3|>=0.5,2349,50.0,0.0046,1.07,10.9,63,0.38,0.4,1132,-0.004,1187,0.014,0.12,1157,50.0,
fundxhour_band=pos|18-23,1971,50.0,-0.0031,0.97,-6.1,59,inf,inf,583,0.001,1388,-0.005,0.09,820,50.4,
adxxoid=20-30|mid,7648,50.0,-0.002,0.98,-15.2,39,inf,inf,3884,0.007,3764,-0.011,0.11,4011,49.7,
decile_bandxhour_band=D4-9|12-17,1699,50.0,0.0049,1.04,8.4,61,0.62,0.65,843,0.015,832,-0.005,0.14,625,48.2,
fundxhour_band=flat|6-11,3268,50.0,-0.0001,1.0,-0.5,61,inf,inf,1738,-0.003,1530,0.003,0.1,1238,50.2,
imbxmktb=<0.5|<30,8774,50.0,-0.0003,1.0,-3.1,60,inf,inf,4486,0.001,4288,-0.002,0.1,3290,49.7,
fundxoid=neg|NA,1457,50.0,0.0063,1.06,9.2,17,0.51,0.28,1455,0.006,2,0.017,0.08,6,50.0,
decile_bandxhour_band=D4-9|6-11,1435,50.0,0.008,1.07,11.5,62,0.22,0.36,611,0.003,808,0.012,0.1,564,50.2,Y
cascxspread=N|2-5,2868,50.0,-0.002,0.98,-5.7,49,inf,inf,996,-0.0,1872,-0.003,0.09,1340,49.6,
symbolxvolz=ZECUSDT|<2,1375,50.0,0.0017,1.02,2.4,57,0.87,1.0,631,0.014,744,-0.009,0.07,573,49.6,
hour_bandxstrategy=12-17|setup_fade,1335,50.0,-0.0116,0.94,-15.5,61,inf,inf,633,-0.019,685,-0.005,0.13,620,50.5,
breadthxweekend=2-3|False,3733,50.0,-0.0003,1.0,-1.2,31,inf,inf,1540,0.012,2193,-0.009,0.1,2165,49.7,
fundxsym_state=pos|neutral,2392,50.0,-0.0075,0.94,-17.9,48,inf,inf,682,0.001,1710,-0.011,0.1,1248,50.0,
spreadxweekend=2-5|True,1151,50.0,0.0004,1.0,0.4,14,8.56,7.4,154,-0.007,997,0.001,0.09,597,48.4,
sym_state=bear,2266,50.0,0.0009,1.01,2.1,40,1.78,2.26,1039,0.001,1227,0.001,0.11,1412,49.6,
mktbxsym_state=<30|bear,2266,50.0,0.0009,1.01,2.1,40,1.78,2.26,1039,0.001,1227,0.001,0.11,1412,49.6,
sessionxsym_state=None|bear,2266,50.0,0.0009,1.01,2.1,40,1.78,2.26,1039,0.001,1227,0.001,0.11,1412,49.6,
atrpxhour_band=mid|6-11,3395,50.0,-0.001,0.99,-3.5,57,inf,inf,1766,-0.001,1629,-0.002,0.09,1396,49.9,
breadthxmktb=1|<30,6314,50.0,0.0023,1.02,14.3,47,0.39,0.52,2480,0.005,3834,0.0,0.1,4015,50.1,Y
mktbxsymbol=<30|ENAUSDT,1047,50.0,0.0107,1.1,11.2,58,0.29,1.0,473,0.014,574,0.008,0.09,380,48.9,Y
fundxweekday=flat|2,1992,49.9,0.0041,1.04,8.1,9,0.55,0.51,1132,0.008,860,-0.001,0.09,677,50.2,
imbxsym_state=<0.5|bull,3850,49.9,0.001,1.01,3.8,45,2.77,1.45,517,0.013,3333,-0.001,0.1,1871,49.9,
fundxvolz=neg|<2,3758,49.9,-0.0031,0.97,-11.8,55,inf,inf,2186,-0.0,1572,-0.007,0.09,1656,50.1,
cascxsymbol=N|ENAUSDT,907,49.9,0.0123,1.12,11.1,55,0.18,1.0,486,0.015,410,0.01,0.09,286,48.6,Y
atrpxfund=mid|neg,3584,49.9,-0.001,0.99,-3.4,54,inf,inf,2284,0.003,1300,-0.007,0.1,1485,50.5,
cascxweekday=N|0,3538,49.9,-0.0115,0.9,-40.6,9,inf,inf,2237,-0.011,1301,-0.013,0.09,1110,50.1,
imbxspread=>=0.5|2-5,2625,49.9,-0.0065,0.94,-17.0,49,inf,inf,779,-0.0,1846,-0.009,0.07,1259,49.7,
imbxvolz=<0.5|>=5,875,49.9,-0.0012,0.99,-1.0,56,inf,inf,380,-0.006,495,0.002,0.15,353,51.6,
mktbxsymbol=<30|XRPUSDT,1744,49.9,-0.002,0.98,-3.5,60,inf,inf,884,0.001,860,-0.005,0.1,655,48.5,
breadthxvolz=2-3|<2,3470,49.9,-0.0028,0.97,-9.8,43,inf,inf,1327,0.008,2143,-0.009,0.09,2103,49.2,
decile_bandxsymbol=D2-3|ENAUSDT,847,49.9,0.0049,1.05,4.1,60,0.43,1.0,323,0.007,518,0.004,0.07,326,47.9,
oidxsymbol=mid|ZECUSDT,831,49.9,-0.0045,0.96,-3.7,49,inf,inf,341,0.006,490,-0.012,0.09,437,49.7,
