cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
strategyxweekdayxregime=burst_follow|0|bull,356,64.3,0.0478,2.21,17.0,1,1.0,0.09,0,,356,0.048,0.07,128,57.0,
strategyxweekday=ny_flush_buy_4h|2,131,64.1,0.1277,2.46,16.7,8,0.47,0.25,57,0.113,74,0.139,0.0,28,42.9,
strategyxv3=asia_pump_short_4h|Y,39,64.1,0.0767,1.47,3.0,24,0.4,0.55,19,0.105,20,0.05,0.0,6,50.0,Y
strategyxweekdayxregime=asia_pump_short_4h|5|bull,39,64.1,-0.0014,1.0,-0.1,2,inf,inf,0,,39,-0.001,0.0,14,64.3,
strategyxweekdayxregime=nony_momentum|5|bull,117,64.1,0.0001,1.0,0.0,2,81.25,69.38,0,,117,0.0,0.04,56,64.3,
mktbxvolz=30-60|>=5,224,63.8,0.0601,1.79,13.5,4,0.63,0.11,0,,224,0.06,0.04,73,57.5,
sidexsymbol=LONG|AAVEUSDT,91,63.7,0.0252,1.26,2.3,10,1.54,1.0,0,,91,0.025,0.09,28,50.0,
hour_bandxsymbol=12-17|AAVEUSDT,44,63.6,0.0916,2.49,4.0,9,0.46,1.0,0,,44,0.092,0.11,15,60.0,
strategyxweekdayxhour_band=ny_flush_buy_4h|2|12-17,77,63.6,0.1089,2.4,8.4,8,0.67,0.26,29,0.058,48,0.14,0.0,13,53.8,
strategyxweekdayxregime=nony_momentum|2|NA,44,63.6,0.0978,2.63,4.3,1,1.0,0.13,44,0.098,0,,0.45,0,,
hour_bandxsymbol=18-23|PUMPUSDT,63,63.5,0.0389,1.61,2.4,9,0.39,1.0,0,,63,0.039,0.1,22,54.5,
strategyxweekdayxregime=follow_3h_all|0|bear,52,63.5,0.0848,1.87,4.4,1,1.0,0.17,52,0.085,0,,0.0,0,,
strategyxsymbol=follow_3h_all|ETHUSDT,71,63.4,0.0358,1.24,2.5,21,0.67,1.0,66,0.012,5,0.348,0.0,4,75.0,
strategyxweekdayxhour_band=nony_momentum|6|6-11,49,63.3,0.0519,2.59,2.5,7,0.41,0.42,31,0.048,18,0.058,0.12,17,64.7,
strategyxweekdayxhour_band=follow_3h_all|0|12-17,49,63.3,0.1263,3.01,6.2,3,1.25,0.13,45,0.136,4,0.013,0.0,4,50.0,
adxxstrategy=>=30|follow_3h_all,95,63.2,0.0549,1.76,5.2,9,0.44,0.39,0,,95,0.055,0.0,56,55.4,
strategyxweekdayxhour_band=follow_3h_all|0|0-5,38,63.2,0.0129,1.16,0.5,2,1.26,0.8,38,0.013,0,,0.0,0,,
strategyxregimexadx=follow_3h_all|bull|>=30,95,63.2,0.0549,1.76,5.2,9,0.44,0.39,0,,95,0.055,0.0,56,55.4,
fundxstrategy=pos|nony_momentum,514,63.0,0.0286,1.65,14.7,40,0.4,0.23,108,0.015,406,0.032,0.06,220,62.3,
strategyxsidexregime=nony_momentum|LONG|bear,273,63.0,0.0374,1.74,10.2,17,0.51,0.15,219,0.039,54,0.033,0.1,69,73.9,
strategyxregimexbreadth=ny_flush_buy_4h|bull|2-3,54,63.0,0.1472,3.05,7.9,18,0.54,0.36,17,0.005,37,0.213,0.0,13,53.8,
strategyxregimexbreadth=follow_3h_all|bull|>=4,81,63.0,0.0658,2.08,5.3,9,0.4,0.22,2,-0.12,79,0.071,0.0,43,55.8,
adxxstrategy=>=30|nony_momentum,619,62.8,0.0323,1.8,20.0,13,0.39,0.17,22,-0.001,597,0.033,0.06,310,62.3,
sidexsymbol=LONG|BCHUSDT,78,62.8,-0.0063,0.93,-0.5,10,inf,inf,0,,78,-0.006,0.05,22,59.1,
atrpxstrategy=mid|asia_pump_short_4h,172,62.8,0.0596,1.39,10.3,43,0.43,0.25,99,0.097,73,0.008,0.0,60,58.3,
strategyxregimexadx=nony_momentum|bull|>=30,618,62.8,0.0322,1.8,19.9,12,0.39,0.17,22,-0.001,596,0.033,0.06,309,62.1,
strategyxregimexadx=ny_flush_buy_4h|bull|20-30,59,62.7,0.185,3.92,10.9,9,0.54,0.25,40,0.07,19,0.427,0.0,9,88.9,
strategyxregimexbreadth=setup_follow|bear|>=4,59,62.7,0.0253,1.53,1.5,7,0.43,0.25,29,0.029,30,0.021,0.05,34,55.9,
strategyxweekdayxhour_band=burst_follow|0|0-5,329,62.6,0.0387,1.99,12.7,8,0.46,0.21,149,0.024,180,0.051,0.07,100,60.0,
