cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
adxbxsym=<20|WLDUSDT,80,53.8,53.8,-0.0034,0.97,-0.3,10,inf,"[42.9,64.3]",54.5,5.96e-01,1.000,41,58.5,-0.022,N,39,48.7,0.016,N,0.023,-0.006,-0.009,4,2.2,NO
hourbxsym=0-5|TAOUSDT,217,50.7,50.7,0.0071,1.06,1.5,48,0.66,"[44.1,57.3]",49.2,3.51e-01,0.993,107,54.2,-0.002,N,110,47.3,0.016,N,-0.026,0.059,-0.003,5,3.2,NO
symxweekday=TAOUSDT|4,94,52.1,52.1,0.0131,1.14,1.2,9,0.97,"[42.1,61.9]",48.8,2.97e-01,0.949,40,60.0,0.009,N,54,46.3,0.016,N,-0.008,0.047,0.009,4,1.9,NO
adxbxsym=20-30|WLDUSDT,461,50.1,50.1,0.0067,1.06,3.1,39,0.63,"[45.6,54.7]",48.6,2.72e-01,0.918,255,48.6,-0.001,N,206,51.9,0.016,N,0.008,0.01,0.001,6,4.1,NO
symxv3=BCHUSDT|True,43,48.8,48.8,0.0159,1.14,0.7,6,0.96,"[34.6,63.2]",45.5,3.86e-01,1.000,0,,,N,43,48.8,0.016,N,,,0.016,2,1.2,NO
stratxweekdayxregime=late_fade|0|neutral,99,59.6,59.6,0.0607,2.66,6.0,5,0.95,"[49.7,68.7]",35.7,1.13e-06,0.000,82,61.0,0.07,Y,17,52.9,0.016,N,-0.002,0.078,0.016,8,0.7,NO
sessionxsym=ny|ETHUSDT,833,53.2,53.3,0.011,1.14,9.2,59,0.59,"[49.8,56.5]",49.8,2.81e-02,0.267,471,54.8,0.007,N,362,51.1,0.016,N,0.007,0.012,0.014,7,4.1,NO
stratxweekday=follow_3h_all|5,90,50.0,50.0,-0.063,0.61,-5.7,4,inf,"[39.9,60.1]",62.1,9.93e-01,1.000,61,42.6,-0.1,N,29,65.5,0.016,N,-0.1,,0.016,12,7.2,NO
hourbxside=12-17|LONG,4272,53.3,53.4,0.0224,1.24,95.7,61,0.24,"[51.8,54.8]",47.9,4.96e-13,0.000,2194,52.1,0.029,Y,2078,54.6,0.016,Y,0.045,-0.001,0.017,38,20.8,NO
decbxstrat=D4-9|london_burst_fade,319,49.5,49.5,0.0435,1.26,13.9,50,0.33,"[44.1,55.0]",43.7,2.12e-02,0.223,163,53.4,0.07,Y,156,45.5,0.016,N,0.053,0.08,0.022,9,7.0,NO
symxv3=AAVEUSDT|False,99,60.6,60.6,0.0156,1.2,1.5,10,0.54,"[50.8,69.7]",56.3,2.22e-01,0.844,0,,,N,99,60.6,0.016,N,,,0.016,3,1.3,NO
sessionxsym=london|SUIUSDT,60,50.0,50.0,0.0156,1.16,0.9,7,1.97,"[37.7,62.3]",46.3,3.24e-01,0.981,0,,,N,60,50.0,0.016,N,,,0.016,5,1.3,NO
adxbxrvb=>=30|>=5,775,54.2,54.2,0.0174,1.15,13.5,13,0.62,"[50.7,57.7]",50.6,2.60e-02,0.257,34,52.9,0.058,Y,741,54.3,0.016,Y,,0.056,0.015,18,10.2,NO
symxweekday=ETHUSDT|5,415,50.6,50.6,-0.0053,0.95,-2.2,9,inf,"[45.8,55.4]",51.9,7.17e-01,1.000,239,50.2,-0.021,N,176,51.1,0.016,N,-0.024,-0.012,0.026,5,7.8,NO
symxweekend=TAOUSDT|True,215,52.1,52.1,0.0216,1.21,4.6,18,0.4,"[45.4,58.7]",47.3,9.04e-02,0.549,92,52.2,0.03,N,123,52.0,0.016,N,0.02,0.051,0.006,5,3.0,NO
sprbxsym=<2bps|QNTUSDT,220,49.1,49.1,0.0182,1.14,4.0,42,0.45,"[42.6,55.7]",45.8,1.78e-01,0.776,68,47.1,0.024,N,152,50.0,0.015,N,-0.001,0.041,0.006,4,2.6,NO
rvbxsym=2-5|AAVEUSDT,37,51.4,51.4,0.0154,1.12,0.6,8,1.31,"[35.9,66.6]",48.5,4.28e-01,1.000,0,,,N,37,51.4,0.015,N,,,0.015,3,1.6,NO
regimexsprb=bear|2-5bps,432,50.2,50.2,0.0093,1.08,4.0,14,0.87,"[45.5,54.9]",48.3,2.24e-01,0.848,126,50.8,-0.006,N,306,50.0,0.015,N,0.015,0.006,0.012,5,3.3,NO
adxbxsym=>=30|DOGEUSDT,217,51.6,51.6,0.0154,1.16,3.3,8,0.56,"[45.0,58.2]",47.8,1.46e-01,0.720,0,,,N,217,51.6,0.015,N,,,0.015,4,3.7,NO
hourbxweekday=18-23|0,891,50.7,50.7,0.0006,1.01,0.5,8,17.12,"[47.5,54.0]",50.6,4.80e-01,1.000,547,49.7,-0.009,N,344,52.3,0.015,N,0.042,-0.037,0.014,16,23.5,NO
hourbxsym=12-17|SOLUSDT,642,53.3,53.3,0.0017,1.02,1.1,57,2.21,"[49.4,57.1]",52.9,4.38e-01,1.000,378,51.6,-0.008,N,264,55.7,0.015,N,-0.009,0.003,0.014,6,8.3,NO
sessionxsym=london|1000PEPEUSDT,389,51.4,51.4,0.0225,1.2,8.7,52,0.26,"[46.5,56.3]",46.9,4.00e-02,0.328,224,50.9,0.028,N,165,52.1,0.015,N,0.042,0.011,0.01,4,3.0,NO
rvbxsym=2-5|SOLUSDT,362,52.2,52.2,-0.0155,0.89,-5.6,50,inf,"[47.1,57.3]",55.2,8.81e-01,1.000,204,51.5,-0.039,N,158,53.2,0.015,N,-0.047,0.002,0.006,6,9.0,NO
hourbxstrat=0-5|nony_momentum,774,56.2,56.2,0.0154,1.28,12.0,50,0.47,"[52.7,59.7]",50.1,3.74e-04,0.012,432,53.9,0.016,Y,342,59.1,0.015,Y,0.017,0.015,0.014,19,6.5,NO
regimexsym=bear|WLDUSDT,314,51.9,51.9,-0.0008,0.99,-0.3,18,inf,"[46.4,57.4]",52.1,5.46e-01,1.000,250,52.0,-0.005,N,64,51.6,0.015,N,-0.005,-0.006,0.022,6,3.9,NO
adxbxsym=>=30|1000LUNCUSDT,91,52.7,52.7,0.0152,1.15,1.4,11,0.61,"[42.6,62.7]",49.3,2.92e-01,0.944,0,,,N,91,52.7,0.015,N,,0.035,0.015,3,1.6,NO
sprbxsym=<2bps|PUMPUSDT,53,56.6,56.6,0.0152,1.21,0.8,5,0.58,"[43.3,69.0]",51.8,2.88e-01,0.939,0,,,N,53,56.6,0.015,N,,,0.015,3,0.9,NO
stratxregimexadxb=setup_follow|bull|20-30,407,51.1,51.1,0.0048,1.07,1.9,12,1.72,"[46.3,55.9]",49.5,2.77e-01,0.928,321,50.2,0.002,N,86,54.7,0.015,N,0.01,-0.009,0.015,9,5.5,NO
regimexrvb=bull|>=5,964,53.1,53.1,0.0115,1.1,11.1,22,0.75,"[50.0,56.2]",50.7,7.33e-02,0.478,222,50.5,-0.0,N,742,53.9,0.015,N,-0.022,0.034,0.015,18,10.2,NO
decbxregime=D4-9|NA,152,52.0,52.0,0.0457,1.37,6.9,7,0.62,"[44.1,59.8]",44.1,3.14e-02,0.279,133,53.4,0.05,N,19,42.1,0.015,N,0.033,0.104,,4,4.3,NO
decbxrvb=D4-9|NA,633,51.3,51.3,0.0259,1.24,16.4,12,0.29,"[47.5,55.2]",46.1,4.35e-03,0.072,614,51.6,0.026,Y,19,42.1,0.015,N,0.022,0.104,,4,4.3,NO
adxbxdecb=NA|D4-9,1378,50.6,50.6,0.005,1.04,6.9,20,0.69,"[47.9,53.2]",49.6,2.38e-01,0.871,1359,50.7,0.005,N,19,42.1,0.015,N,0.003,0.104,,8,11.6,NO
decbxsprb=D4-9|NA,1378,50.6,50.6,0.005,1.04,6.9,20,0.69,"[47.9,53.2]",49.6,2.38e-01,0.871,1359,50.7,0.005,N,19,42.1,0.015,N,0.003,0.104,,8,11.6,NO
stratxweekday=setup_fade|4,837,49.1,49.1,0.0157,1.09,13.1,9,0.61,"[45.7,52.5]",46.9,1.06e-01,0.607,453,47.2,0.016,N,384,51.3,0.015,N,0.015,0.042,-0.007,12,10.0,NO
sessionxweekday=late|3,286,47.9,47.9,0.0106,1.14,3.0,9,0.29,"[42.2,53.7]",44.7,1.54e-01,0.734,181,47.5,0.008,N,105,48.6,0.015,N,0.013,0.009,0.008,5,3.7,NO
sessionxsym=asia|WLDUSDT,493,51.1,51.1,-0.0014,0.99,-0.7,53,inf,"[46.7,55.5]",51.4,5.69e-01,1.000,293,50.5,-0.012,N,200,52.0,0.015,N,-0.017,0.012,0.011,6,6.2,NO
stratxregimexdecb=setup_fade|bear|D10,102,47.1,47.1,-0.0046,0.98,-0.5,20,inf,"[37.7,56.7]",47.7,5.88e-01,1.000,52,42.3,-0.023,N,50,52.0,0.015,N,0.001,0.029,-0.044,5,4.4,NO
rvbxsym=2-5|TAOUSDT,203,52.2,52.2,0.0144,1.12,2.9,42,0.81,"[45.4,59.0]",49.4,2.28e-01,0.855,95,50.5,0.014,N,108,53.7,0.015,N,0.001,0.07,-0.017,5,3.0,NO
regimexsym=bull|BCHUSDT,105,57.1,57.1,0.0147,1.17,1.5,8,0.71,"[47.6,66.2]",53.3,2.45e-01,0.888,0,,,N,105,57.1,0.015,N,,,0.015,3,2.5,NO
symxweekday=FILUSDT|4,121,52.9,52.9,-0.0203,0.85,-2.5,9,inf,"[44.0,61.6]",57.0,8.44e-01,1.000,68,48.5,-0.048,N,53,58.5,0.015,N,-0.061,-0.038,0.027,4,4.5,NO
sessionxsym=asia|APTUSDT,202,50.0,50.0,0.0245,1.2,5.0,48,0.24,"[43.2,56.8]",45.4,1.06e-01,0.607,111,50.5,0.033,N,91,49.5,0.015,N,0.017,0.034,0.023,3,1.9,NO
hourbxsym=18-23|DASHUSDT,139,46.8,46.8,0.0165,1.17,2.3,34,0.28,"[38.7,55.0]",42.9,2.02e-01,0.812,70,42.9,0.018,N,69,50.7,0.015,N,0.022,0.014,0.016,6,1.7,NO
rvbxsession=>=5|london,965,51.8,51.8,0.0111,1.09,10.7,52,0.29,"[48.7,55.0]",49.7,9.57e-02,0.568,510,51.8,0.008,N,455,51.9,0.015,N,0.007,0.022,0.006,6,9.7,NO
symxweekday=APTUSDT|1,92,50.0,50.0,0.0207,1.22,1.9,9,0.6,"[40.0,60.0]",45.0,1.94e-01,0.799,38,52.6,0.03,N,54,48.1,0.014,N,0.014,0.056,0.004,4,2.3,NO
rvbxsym=<2|TRUMPUSDT,293,53.9,53.9,0.0145,1.18,4.2,10,0.65,"[48.2,59.5]",49.8,8.66e-02,0.530,0,,,N,293,53.9,0.014,N,,,0.014,4,2.5,NO
hourbxsym=6-11|NMRUSDT,89,50.6,50.6,0.0012,1.01,0.1,28,7.75,"[40.4,60.7]",50.4,5.27e-01,1.000,43,51.2,-0.013,N,46,50.0,0.014,N,0.061,-0.113,0.063,2,4.1,NO
rvbxsym=<2|BCHUSDT,62,56.5,56.5,0.0144,1.21,0.9,10,0.72,"[44.1,68.1]",51.6,2.65e-01,0.909,0,,,N,62,56.5,0.014,N,,,0.014,2,1.1,NO
stratxweekdayxhourb=burst_follow|5|6-11,200,57.0,57.0,0.0218,1.53,4.4,8,0.36,"[50.1,63.7]",46.4,1.61e-03,0.033,75,58.7,0.034,Y,125,56.0,0.014,N,0.043,0.029,0.011,7,1.2,NO
stratxweekday=setup_fade|5,780,50.0,50.0,0.014,1.08,10.9,9,0.56,"[46.5,53.5]",48.0,1.38e-01,0.697,340,49.1,0.014,N,440,50.7,0.014,N,0.028,0.02,-0.004,8,14.1,NO
hourbxweekday=18-23|4,919,51.5,51.5,0.0147,1.16,13.5,9,0.73,"[48.2,54.7]",47.9,1.55e-02,0.183,393,50.9,0.015,N,526,51.9,0.014,N,0.02,0.009,0.015,13,5.8,NO
symxweekday=SUIUSDT|4,37,45.9,45.9,0.0142,1.12,0.5,1,1.0,"[31.0,61.6]",43.1,4.23e-01,1.000,0,,,N,37,45.9,0.014,N,,,0.014,3,1.2,NO
symxweekday=CHZUSDT|0,84,48.8,48.8,0.0045,1.04,0.4,9,1.87,"[38.4,59.3]",47.9,4.80e-01,1.000,53,49.1,-0.001,N,31,48.4,0.014,N,-0.002,-0.004,0.022,5,1.8,NO
adxbxsym=>=30|QNTUSDT,90,50.0,50.0,0.0142,1.11,1.3,11,1.42,"[39.9,60.1]",47.5,3.53e-01,0.994,0,,,N,90,50.0,0.014,N,,0.28,0.008,4,2.4,NO
stratxweekdayxregime=nony_momentum|2|bull,99,53.5,53.5,0.0035,1.07,0.4,6,3.53,"[43.8,63.0]",51.8,4.03e-01,1.000,49,49.0,-0.007,N,50,58.0,0.014,N,-0.018,0.001,0.014,6,1.3,NO
regimexsym=bull|1000LUNCUSDT,103,53.4,53.4,0.0115,1.11,1.2,14,0.71,"[43.8,62.7]",50.8,3.36e-01,0.988,6,50.0,-0.03,N,97,53.6,0.014,N,,-0.03,0.014,3,1.6,NO
stratxsym=setup_follow|LINKUSDT,33,51.5,51.5,0.0141,1.24,0.5,9,1.08,"[35.2,67.5]",46.2,3.28e-01,0.984,0,,,N,33,51.5,0.014,N,,,0.014,4,0.6,NO
symxweekday=XRPUSDT|1,295,49.2,49.2,0.0131,1.14,3.9,9,0.7,"[43.5,54.8]",46.0,1.50e-01,0.730,152,48.7,0.012,N,143,49.7,0.014,N,-0.008,0.039,0.011,5,3.0,NO
sidexsym=LONG|TAOUSDT,409,49.9,49.9,0.0095,1.1,3.9,62,0.89,"[45.1,54.7]",47.6,1.86e-01,0.789,199,48.7,0.005,N,210,51.0,0.014,N,0.016,0.051,-0.02,8,4.8,NO
v3xweekday=True|4,1794,50.0,50.0,0.0107,1.09,19.1,9,0.4,"[47.7,52.3]",47.8,3.48e-02,0.301,961,48.7,0.008,N,833,51.5,0.014,N,0.005,0.022,0.007,6,7.1,NO
rvbxside=>=5|LONG,1808,52.3,52.3,0.0112,1.11,20.2,56,0.71,"[50.0,54.6]",49.8,1.55e-02,0.183,853,48.8,0.008,N,955,55.5,0.014,Y,0.027,-0.004,0.01,28,19.1,NO
rvbxweekday=2-5|4,806,51.9,51.9,0.019,1.15,15.3,8,0.26,"[48.4,55.3]",48.4,2.56e-02,0.256,319,51.1,0.027,N,487,52.4,0.014,N,0.016,0.034,0.013,6,11.0,NO
rvbxside=<2|LONG,9579,51.4,51.4,0.0065,1.07,62.2,57,0.48,"[50.4,52.4]",49.6,3.51e-04,0.012,4163,48.8,-0.003,N,5416,53.4,0.014,Y,-0.004,-0.006,0.018,40,40.7,NO
regimexsym=bear|NEARUSDT,205,51.7,51.7,0.0079,1.08,1.6,20,0.9,"[44.9,58.5]",49.8,3.18e-01,0.973,151,52.3,0.006,N,54,50.0,0.014,N,0.011,0.004,0.002,5,1.6,NO
adxbxsym=20-30|RENDERUSDT,159,49.7,49.7,0.027,1.29,4.3,32,0.27,"[42.0,57.4]",43.4,6.60e-02,0.447,64,51.6,0.046,N,95,48.4,0.014,N,0.055,0.053,-0.015,4,2.5,NO
symxweekday=1000PEPEUSDT|5,177,49.7,49.7,-0.0111,0.9,-2.0,8,inf,"[42.4,57.0]",52.4,7.87e-01,1.000,73,43.8,-0.047,N,104,53.8,0.014,N,-0.053,0.008,0.003,3,3.7,NO
rvbxsym=>=5|RENDERUSDT,42,54.8,54.8,0.0208,1.3,0.9,15,1.51,"[39.9,68.8]",48.3,2.47e-01,0.888,12,58.3,0.038,N,30,53.3,0.014,N,0.101,-0.123,0.031,3,0.8,NO
adxbxdecb=>=30|D4-9,1534,51.0,51.0,0.0147,1.13,22.6,14,0.24,"[48.5,53.5]",47.9,7.42e-03,0.103,47,55.3,0.042,N,1487,50.9,0.014,Y,,0.026,0.014,8,7.9,NO
rvbxsym=2-5|HYPEUSDT,75,50.7,50.7,0.0138,1.2,1.0,8,0.44,"[39.6,61.7]",46.1,2.51e-01,0.892,0,,,N,75,50.7,0.014,N,,,0.014,3,1.0,NO
regimexsym=neutral|1000PEPEUSDT,574,50.3,50.3,0.0091,1.08,5.2,35,0.44,"[46.3,54.4]",48.4,1.86e-01,0.788,415,49.4,0.007,N,159,52.8,0.014,N,0.014,0.009,0.0,5,4.1,NO
symxv3=DOGEUSDT|False,201,51.2,51.2,0.0137,1.15,2.8,10,0.78,"[44.4,58.1]",47.7,1.75e-01,0.765,0,,,N,201,51.2,0.014,N,,,0.014,4,4.0,NO
sprbxsym=2-5bps|PENDLEUSDT,32,53.1,53.1,0.0092,1.12,0.3,12,0.66,"[36.4,69.1]",50.4,4.46e-01,1.000,10,50.0,-0.001,N,22,54.5,0.014,N,0.027,-0.034,0.029,2,0.7,NO
hourbxsym=18-23|HYPEUSDT,68,54.4,54.4,0.0135,1.2,0.9,9,1.13,"[42.7,65.7]",49.8,2.59e-01,0.906,0,,,N,68,54.4,0.014,N,,,0.014,4,1.2,NO
sessionxweekday=london|3,1204,51.1,51.1,0.011,1.09,13.2,9,0.57,"[48.3,53.9]",48.9,6.68e-02,0.449,629,50.6,0.009,N,575,51.7,0.013,N,0.015,0.006,0.011,7,6.4,NO
stratxregimexdecb=setup_follow|bull|D2-3,878,51.0,51.0,0.0077,1.12,6.7,22,0.71,"[47.7,54.3]",48.2,5.24e-02,0.392,241,47.3,-0.008,N,637,52.4,0.013,Y,-0.006,-0.009,0.013,13,8.8,NO
stratxregimexdecb=asia_burst_fade|bear|D2-3,313,42.5,42.5,-0.0486,0.74,-15.2,13,inf,"[37.1,48.0]",50.0,9.97e-01,1.000,254,40.9,-0.063,N,59,49.2,0.013,N,-0.07,-0.042,0.013,13,18.3,NO
sprbxweekday=<2bps|4,2564,51.8,51.8,0.01,1.09,25.5,7,0.42,"[49.9,53.7]",49.7,1.68e-02,0.193,822,51.8,0.003,N,1742,51.8,0.013,Y,-0.008,0.015,0.012,14,10.0,NO
regimexsession=bear|london,1561,50.9,50.9,0.0139,1.12,21.7,18,0.35,"[48.4,53.3]",48.1,1.53e-02,0.182,1152,51.0,0.014,N,409,50.4,0.013,N,0.017,-0.0,0.015,13,13.3,NO
stratxweekday=nony_momentum|4,256,51.6,51.6,-0.0071,0.91,-1.8,9,inf,"[45.5,57.6]",54.0,8.03e-01,1.000,135,48.1,-0.025,N,121,55.4,0.013,N,-0.013,-0.043,0.014,15,6.4,NO
sprbxstrat=2-5bps|follow_3h_all,46,58.7,58.7,-0.0097,0.92,-0.4,16,inf,"[44.3,71.7]",60.8,6.73e-01,1.000,6,33.3,-0.163,N,40,62.5,0.013,N,-0.236,-0.148,0.013,5,1.4,NO
sym=1000LUNCUSDT,405,52.3,52.3,0.0066,1.05,2.7,60,0.6,"[47.5,57.2]",51.0,3.17e-01,0.972,204,51.5,0.0,N,201,53.2,0.013,N,0.002,0.004,0.012,3,3.4,NO
symxvolb=1000LUNCUSDT|hi>=0.40%,405,52.3,52.3,0.0066,1.05,2.7,60,0.6,"[47.5,57.2]",51.0,3.17e-01,0.972,204,51.5,0.0,N,201,53.2,0.013,N,0.002,0.004,0.012,3,3.4,NO
rvbxsym=2-5|1000LUNCUSDT,102,53.9,53.9,0.0033,1.03,0.3,31,2.01,"[44.3,63.3]",53.3,4.88e-01,1.000,44,50.0,-0.01,N,58,56.9,0.013,N,-0.036,-0.002,0.024,3,1.7,NO
symxweekday=TAOUSDT|5,101,48.5,48.5,0.0184,1.17,1.9,9,0.71,"[39.0,58.1]",44.6,2.46e-01,0.888,40,50.0,0.026,N,61,47.5,0.013,N,0.024,0.028,0.007,5,1.7,NO
adxbxsym=<20|ARBUSDT,52,48.1,48.1,0.0109,1.14,0.6,9,1.3,"[35.1,61.3]",44.8,3.67e-01,1.000,27,44.4,0.009,N,25,52.0,0.013,N,0.028,0.01,0.006,6,1.4,NO
sessionxsym=asia|AAVEUSDT,53,54.7,54.7,0.013,1.12,0.7,9,0.91,"[41.5,67.3]",51.9,3.96e-01,1.000,0,,,N,53,54.7,0.013,N,,,0.013,3,1.5,NO
rvbxsym=>=5|XLMUSDT,97,53.6,53.6,0.0093,1.09,0.9,31,0.79,"[43.7,63.2]",51.4,3.73e-01,1.000,60,51.7,0.007,N,37,56.8,0.013,N,0.025,-0.015,0.009,3,1.6,NO
adxbxweekday=20-30|3,1562,50.1,50.1,0.0063,1.06,9.9,5,0.85,"[47.7,52.6]",48.7,1.36e-01,0.693,1140,50.5,0.004,N,422,49.1,0.013,N,-0.001,0.012,0.005,7,5.3,NO
sidexweekend=LONG|False,11847,51.1,51.1,0.0073,1.08,86.7,45,0.41,"[50.2,52.0]",49.3,3.95e-05,0.002,6332,49.3,0.002,N,5515,53.1,0.013,Y,0.013,-0.012,0.014,50,57.2,NO
adxbxsym=20-30|1000LUNCUSDT,182,51.6,51.6,0.0026,1.02,0.5,33,2.76,"[44.4,58.8]",51.1,4.69e-01,1.000,82,48.8,-0.01,N,100,54.0,0.013,N,-0.039,0.002,0.015,3,3.1,NO
sidexsprb=LONG|<2bps,8447,52.6,52.6,0.009,1.09,75.7,49,0.47,"[51.5,53.7]",50.4,3.10e-05,0.001,2618,50.7,0.0,N,5829,53.4,0.013,Y,0.019,-0.007,0.015,62,44.8,NO
hourbxsym=0-5|XLMUSDT,190,51.1,51.1,0.0022,1.02,0.4,47,3.75,"[44.0,58.1]",50.6,4.76e-01,1.000,105,49.5,-0.006,N,85,52.9,0.013,N,0.005,-0.033,0.015,5,3.4,NO
stratxweekdayxhourb=burst_follow|1|12-17,432,55.1,55.1,0.0027,1.04,1.2,8,2.14,"[50.4,59.7]",54.1,3.50e-01,0.993,258,53.9,-0.004,N,174,56.9,0.013,N,-0.014,0.013,0.013,9,5.2,NO
stratxweekdayxhourb=follow_3h_all|0|12-17,49,63.3,63.3,0.126,3.0,6.2,3,1.25,"[49.3,75.3]",36.5,1.26e-04,0.005,45,64.4,0.136,Y,4,50.0,0.013,N,0.136,,0.013,7,2.2,NO
adxbxsym=>=30|PENDLEUSDT,85,54.1,54.1,0.0032,1.03,0.3,14,3.77,"[43.6,64.3]",53.5,4.96e-01,1.000,6,50.0,-0.122,N,79,54.4,0.013,N,,-0.099,0.014,2,1.6,NO
stratxsidexregime=setup_follow|LONG|bull,953,49.5,49.5,0.0077,1.12,7.4,20,0.69,"[46.4,52.7]",46.8,4.66e-02,0.362,255,45.9,-0.006,N,698,50.9,0.013,Y,0.023,-0.037,0.013,11,8.8,NO
stratxsym=asia_burst_fade|FILUSDT,52,44.2,44.2,-0.0364,0.77,-1.9,24,inf,"[31.6,57.7]",50.7,8.57e-01,1.000,23,43.5,-0.098,N,29,44.8,0.013,N,-0.192,0.024,0.013,5,2.5,NO
hourbxsym=6-11|XRPUSDT,452,50.4,50.4,0.0114,1.11,5.1,55,0.3,"[45.8,55.0]",47.9,1.48e-01,0.723,159,49.1,0.009,N,293,51.2,0.013,N,0.01,0.01,0.013,5,2.3,NO
adxbxstrat=<20|setup_follow,403,51.1,51.1,0.0025,1.04,1.0,11,2.61,"[46.2,56.0]",50.2,3.79e-01,1.000,118,43.2,-0.022,N,285,54.4,0.013,N,0.027,-0.002,0.011,9,4.6,NO
stratxregimexadxb=setup_follow|neutral|<20,403,51.1,51.1,0.0025,1.04,1.0,11,2.61,"[46.2,56.0]",50.2,3.79e-01,1.000,118,43.2,-0.022,N,285,54.4,0.013,N,0.027,-0.002,0.011,9,4.6,NO
sidexv3=LONG|True,5709,48.3,48.3,0.005,1.05,28.8,63,0.74,"[47.0,49.6]",47.1,4.04e-02,0.331,2682,46.3,-0.004,N,3027,50.0,0.013,Y,0.001,-0.004,0.016,23,28.2,NO
stratxsym=setup_fade|ENAUSDT,200,52.5,52.5,0.0385,1.25,7.7,53,0.37,"[45.6,59.3]",47.0,6.71e-02,0.449,117,58.1,0.057,N,83,44.6,0.013,N,0.003,0.031,0.111,7,5.3,NO
sessionxsym=ny|PUMPUSDT,65,55.4,55.4,0.0125,1.15,0.8,9,0.94,"[43.3,66.8]",51.9,3.32e-01,0.988,0,,,N,65,55.4,0.013,N,,,0.013,5,1.8,NO
adxbxsym=20-30|ETHUSDT,1664,51.2,51.3,0.006,1.05,10.0,38,0.37,"[48.8,53.6]",49.9,1.49e-01,0.726,950,52.0,0.001,N,714,50.1,0.013,N,0.011,-0.003,0.014,7,8.8,NO
symxweekday=CHZUSDT|3,56,50.0,50.0,-0.0011,0.99,-0.1,7,inf,"[37.3,62.7]",50.3,5.69e-01,1.000,18,50.0,-0.03,N,38,50.0,0.013,N,-0.063,-0.019,0.038,2,1.2,NO
stratxsym=follow_3h_all|WLDUSDT,43,55.8,55.8,0.0259,1.23,1.1,14,0.81,"[41.1,69.6]",50.7,3.03e-01,0.953,41,56.1,0.027,N,2,50.0,0.012,N,0.027,,0.012,4,1.3,NO
stratxweekdayxhourb=setup_follow|6|12-17,210,48.6,48.6,0.0103,1.16,2.2,8,0.75,"[41.9,55.3]",44.8,1.51e-01,0.730,60,43.3,0.005,N,150,50.7,0.012,N,0.005,-0.007,0.023,10,3.0,NO
stratxregimexdecb=setup_fade|neutral|D4-9,778,52.2,52.2,0.0152,1.08,11.8,40,0.36,"[48.7,55.7]",50.2,1.46e-01,0.721,399,52.6,0.018,N,379,51.7,0.012,N,-0.024,0.042,0.007,10,11.7,NO
hourbxsym=12-17|UNIUSDT,168,50.6,50.6,-0.0093,0.92,-1.6,46,inf,"[43.1,58.1]",52.6,7.29e-01,1.000,79,45.6,-0.034,N,89,55.1,0.012,N,-0.062,0.042,-0.004,6,4.1,NO
stratxweekdayxhourb=nony_momentum|3|0-5,68,55.9,55.9,0.0226,1.42,1.5,8,0.43,"[44.1,67.1]",47.1,9.13e-02,0.553,41,53.7,0.03,N,27,59.3,0.012,N,0.042,-0.021,0.012,5,0.9,NO
hourbxsym=18-23|BCHUSDT,39,56.4,56.4,0.0122,1.11,0.5,8,2.13,"[41.0,70.7]",53.8,4.36e-01,1.000,0,,,N,39,56.4,0.012,N,,,0.012,4,2.7,NO
stratxweekdayxhourb=setup_follow|0|12-17,160,49.4,49.4,0.0111,1.18,1.8,8,1.17,"[41.7,57.0]",45.2,1.66e-01,0.758,69,47.8,0.01,N,91,50.5,0.012,N,0.034,0.023,-0.017,7,2.4,NO
regimexsym=bull|DOTUSDT,197,51.3,51.3,0.0094,1.08,1.9,17,0.76,"[44.3,58.2]",49.4,3.25e-01,0.981,42,50.0,-0.0,N,155,51.6,0.012,N,-0.049,0.036,0.012,5,2.1,NO
regimexsym=bull|ENAUSDT,589,49.9,49.9,0.0066,1.06,3.9,20,0.85,"[45.9,53.9]",48.4,2.40e-01,0.876,73,45.2,-0.033,N,516,50.6,0.012,N,-0.065,0.009,0.012,6,5.1,NO
stratxweekdayxhourb=asia_burst_fade|4|0-5,304,49.0,49.0,-0.0176,0.91,-5.4,7,inf,"[43.4,54.6]",51.5,8.21e-01,1.000,135,45.9,-0.055,N,169,51.5,0.012,N,-0.027,-0.227,0.012,13,19.2,NO
sessionxsym=ny|UNIUSDT,199,52.3,52.3,-0.0001,1.0,-0.0,47,inf,"[45.3,59.1]",52.3,5.32e-01,1.000,77,49.4,-0.019,N,122,54.1,0.012,N,-0.042,0.042,0.003,4,3.5,NO
stratxweekdayxhourb=setup_follow|4|0-5,188,48.4,48.4,0.0155,1.27,2.9,9,0.67,"[41.4,55.5]",42.5,5.86e-02,0.418,113,49.6,0.018,N,75,46.7,0.012,N,0.011,0.023,0.013,10,1.5,NO
sessionxsym=london|FILUSDT,193,52.3,52.3,0.0111,1.1,2.2,40,0.45,"[45.3,59.3]",50.0,2.84e-01,0.935,114,50.9,0.011,N,79,54.4,0.012,N,0.022,-0.003,0.01,4,2.8,NO
