cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
rvbxsym=<2|XRPUSDT,1261,50.3,50.3,-0.004,0.96,-5.0,57,inf,"[47.5,53.0]",51.2,7.57e-01,1.000,448,50.0,0.008,N,813,50.4,-0.011,N,0.003,0.001,-0.008,6,11.2,NO
weekday=2,4371,50.0,50.0,0.0003,1.0,1.4,9,7.8,"[48.6,51.5]",50.0,4.70e-01,1.000,2551,50.3,0.008,N,1820,49.6,-0.011,N,0.007,0.007,-0.011,16,32.0,NO
volbxweekday=hi>=0.40%|2,4371,50.0,50.0,0.0003,1.0,1.4,9,7.8,"[48.6,51.5]",50.0,4.70e-01,1.000,2551,50.3,0.008,N,1820,49.6,-0.011,N,0.007,0.007,-0.011,16,32.0,NO
weekdayxweekend=2|False,4371,50.0,50.0,0.0003,1.0,1.4,9,7.8,"[48.6,51.5]",50.0,4.70e-01,1.000,2551,50.3,0.008,N,1820,49.6,-0.011,N,0.007,0.007,-0.011,16,32.0,NO
adxbxhourb=20-30|12-17,3018,50.5,50.5,-0.0035,0.97,-10.7,32,inf,"[48.7,52.3]",51.2,7.90e-01,1.000,1560,50.6,0.003,N,1458,50.3,-0.011,N,0.002,0.0,-0.012,16,26.4,NO
sidexsym=SHORT|TRUMPUSDT,173,53.2,53.2,-0.0106,0.9,-1.8,10,inf,"[45.8,60.5]",55.8,7.79e-01,1.000,0,,,N,173,53.2,-0.011,N,,,-0.011,6,4.8,NO
symxweekday=RUNEUSDT|3,70,48.6,48.6,0.0053,1.04,0.4,6,1.29,"[37.2,60.0]",47.5,4.74e-01,1.000,18,50.0,0.052,N,52,48.1,-0.011,N,0.052,,-0.011,5,1.6,NO
stratxsym=burst_follow|CHZUSDT,31,45.2,45.2,0.0074,1.11,0.2,15,1.41,"[29.2,62.2]",42.5,4.51e-01,1.000,25,48.0,0.012,N,6,33.3,-0.011,N,0.06,-0.075,-0.011,6,1.0,NO
regimexsym=bull|RUNEUSDT,150,48.0,48.0,0.0009,1.01,0.1,14,5.67,"[40.2,55.9]",47.8,5.13e-01,1.000,30,46.7,0.047,N,120,48.3,-0.011,N,0.045,0.055,-0.011,6,3.2,NO
stratxweekdayxregime=nony_momentum|1|neutral,146,56.2,56.2,0.0189,1.32,2.8,6,0.78,"[48.1,64.0]",49.2,5.55e-02,0.404,84,60.7,0.041,Y,62,50.0,-0.011,N,0.07,0.03,-0.011,6,3.3,NO
symxweekday=PUMPUSDT|2,32,46.9,46.9,-0.0108,0.87,-0.3,1,inf,"[30.9,63.6]",50.4,7.17e-01,1.000,0,,,N,32,46.9,-0.011,N,,,-0.011,4,1.8,NO
v3xweekend=True|True,3285,49.0,49.0,-0.0037,0.97,-12.3,18,inf,"[47.3,50.7]",49.8,8.14e-01,1.000,1290,49.5,0.007,N,1995,48.7,-0.011,N,0.008,-0.002,-0.015,7,29.1,NO
sym=BCHUSDT,121,56.2,56.2,-0.0108,0.9,-1.3,10,inf,"[47.3,64.7]",58.8,7.48e-01,1.000,0,,,N,121,56.2,-0.011,N,,,-0.011,4,3.8,NO
sprbxsym=<2bps|BCHUSDT,121,56.2,56.2,-0.0108,0.9,-1.3,10,inf,"[47.3,64.7]",58.8,7.48e-01,1.000,0,,,N,121,56.2,-0.011,N,,,-0.011,4,3.8,NO
symxvolb=BCHUSDT|hi>=0.40%,121,56.2,56.2,-0.0108,0.9,-1.3,10,inf,"[47.3,64.7]",58.8,7.48e-01,1.000,0,,,N,121,56.2,-0.011,N,,,-0.011,4,3.8,NO
weekday=6,4218,51.0,51.1,-0.0066,0.94,-27.7,9,inf,"[49.5,52.6]",52.6,9.81e-01,1.000,1487,50.4,0.001,N,2731,51.4,-0.011,N,0.003,-0.009,-0.012,23,41.7,NO
volbxweekday=hi>=0.40%|6,4218,51.0,51.1,-0.0066,0.94,-27.7,9,inf,"[49.5,52.6]",52.6,9.81e-01,1.000,1487,50.4,0.001,N,2731,51.4,-0.011,N,0.003,-0.009,-0.012,23,41.7,NO
weekdayxweekend=6|True,4218,51.0,51.1,-0.0066,0.94,-27.7,9,inf,"[49.5,52.6]",52.6,9.81e-01,1.000,1487,50.4,0.001,N,2731,51.4,-0.011,N,0.003,-0.009,-0.012,23,41.7,NO
