symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
CHZUSDT,2026-03-28T15:24:59.999000+00:00,2026-03-28T17:24:59.999000+00:00,0.040168032,0.039266430857142855,-1.0379,-1337.4,stop_loss,1,62.0,24,-1.0387,0.8242,0.04,0.0003542857142857147,30850.8,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.287094786519553
CHZUSDT,2026-03-30T00:19:59.999000+00:00,2026-03-30T00:39:59.999000+00:00,0.040828164,0.04096323428571428,0.1799,222.05,vol_trail,3,73.1,4,-0.5091,0.8176,0.04,0.0002592857142857144,31037.87,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.8628265218675337
CHZUSDT,2026-03-30T07:04:59.999000+00:00,2026-03-30T08:04:59.999000+00:00,0.043328663999999996,0.04349844142857143,0.1998,248.05,vol_trail,8,82.2,12,0.0,1.0375,0.04,0.0003007142857142851,31253.72,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9471034691544697
CHZUSDT,2026-03-30T11:14:59.999000+00:00,2026-03-30T12:04:59.999000+00:00,0.044488896,0.04341238721428571,-1.0351,-1293.97,stop_loss,2,70.3,10,-0.8121,0.2455,0.04,0.0004235714285714274,29936.12,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.5192974486816406
BNBUSDT,2026-04-04T06:19:59.999000+00:00,2026-04-04T07:34:59.999000+00:00,592.138404,590.7000506428571,-1.418,-1698.01,stop_loss,7,80.4,15,-1.2731,0.0,0.04,0.48071428571429514,27972.61,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": false, ""momentum"": true}",4.468176417799091
ZECUSDT,2026-04-07T15:29:59.999000+00:00,2026-04-07T15:54:59.999000+00:00,271.014192,266.3210108571428,-1.0496,-1174.37,stop_loss,3,71.4,5,-0.8461,0.0,0.04,1.8342857142857107,26768.48,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.042997606207903
WLDUSDT,2026-04-07T18:24:59.999000+00:00,2026-04-07T18:59:59.999000+00:00,0.25395078,0.24983216642857142,-1.0531,-1127.55,stop_loss,7,79.1,7,-0.9458,0.3236,0.04,0.0016071428571428664,25610.48,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.0549485514160253
DOTUSDT,2026-04-07T22:34:59.999000+00:00,2026-04-07T23:04:59.999000+00:00,1.2982596,1.3078812285714285,0.4287,439.16,vol_trail,5,75.5,6,0.0,1.0915,0.04,0.008428571428571372,26021.23,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.762041148832102
DASHUSDT,2026-04-10T08:39:59.999000+00:00,2026-04-10T10:09:59.999000+00:00,40.648128,41.889120500000004,0.8587,893.8,vol_trail,7,79.8,18,-0.5199,1.7777,0.04,0.5692857142857152,26901.65,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.988929866462394
DASHUSDT,2026-04-11T09:44:59.999000+00:00,2026-04-11T11:39:59.999000+00:00,46.969392,45.50982478571429,-1.027,-1105.17,stop_loss,3,70.6,23,-0.6592,0.4233,0.04,0.5764285714285714,25746.95,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.0075323104895664
