trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
6823a8c3-9c4c-42b2-ab68-ae807be49dff,6,0.0,-0.3633,-0.27507
6823a8c3-9c4c-42b2-ab68-ae807be49dff,7,0.04671,-0.3633,0.04671
6823a8c3-9c4c-42b2-ab68-ae807be49dff,8,0.04671,-0.3633,-0.03633
6823a8c3-9c4c-42b2-ab68-ae807be49dff,9,0.04671,-0.3633,0.02076
6823a8c3-9c4c-42b2-ab68-ae807be49dff,10,0.10899,-0.3633,0.10899
a20d6af9-9277-46da-b88d-635381022773,0,0.0,0.0,0.0
a20d6af9-9277-46da-b88d-635381022773,1,0.08126,0.0,0.08126
a20d6af9-9277-46da-b88d-635381022773,2,0.08126,-0.18283,-0.18283
a20d6af9-9277-46da-b88d-635381022773,3,0.08126,-0.20314,-0.20314
a20d6af9-9277-46da-b88d-635381022773,4,0.08126,-0.20314,-0.00677
a20d6af9-9277-46da-b88d-635381022773,5,0.30472,-0.20314,0.30472
81b10759-3fb6-4c9f-995a-6eb6b18d76a7,0,0.0,0.0,0.0
81b10759-3fb6-4c9f-995a-6eb6b18d76a7,1,0.0,-0.10378,-0.10378
81b10759-3fb6-4c9f-995a-6eb6b18d76a7,2,0.0,-0.10378,-0.03459
81b10759-3fb6-4c9f-995a-6eb6b18d76a7,3,0.51027,-0.10378,0.51027
97e3cec3-7791-413c-b0c1-66deb40b823f,0,0.0,0.0,0.0
97e3cec3-7791-413c-b0c1-66deb40b823f,1,0.0,-0.64019,-0.64019
97e3cec3-7791-413c-b0c1-66deb40b823f,2,0.0,-0.90975,-0.90975
0ab67399-be86-402b-ba3c-d17e320b2012,0,0.0,0.0,0.0
0ab67399-be86-402b-ba3c-d17e320b2012,1,0.22278,0.0,0.22278
0ab67399-be86-402b-ba3c-d17e320b2012,2,0.22278,0.0,0.13165
0ab67399-be86-402b-ba3c-d17e320b2012,3,0.22278,0.0,0.08101
0ab67399-be86-402b-ba3c-d17e320b2012,4,0.22278,-0.12152,-0.12152
0ab67399-be86-402b-ba3c-d17e320b2012,5,0.22278,-0.12152,0.06076
0ab67399-be86-402b-ba3c-d17e320b2012,6,0.22278,-0.12152,0.22278
0ab67399-be86-402b-ba3c-d17e320b2012,7,0.36456,-0.12152,0.36456
0ab67399-be86-402b-ba3c-d17e320b2012,8,0.36456,-0.12152,0.33418
0ab67399-be86-402b-ba3c-d17e320b2012,9,0.36456,-0.12152,0.12152
0ab67399-be86-402b-ba3c-d17e320b2012,10,0.36456,-0.12152,0.22278
0ab67399-be86-402b-ba3c-d17e320b2012,11,0.36456,-0.12152,-0.11139
0352c200-80f1-4bac-b907-13017cb0300f,0,0.0,0.0,0.0
0352c200-80f1-4bac-b907-13017cb0300f,1,0.08145,0.0,0.08145
0352c200-80f1-4bac-b907-13017cb0300f,2,0.08145,-0.06109,-0.06109
0352c200-80f1-4bac-b907-13017cb0300f,3,0.08145,-0.10182,-0.10182
0352c200-80f1-4bac-b907-13017cb0300f,4,0.08145,-0.10182,0.0
0352c200-80f1-4bac-b907-13017cb0300f,5,0.12218,-0.10182,0.12218
0352c200-80f1-4bac-b907-13017cb0300f,6,0.18327,-0.10182,0.18327
0352c200-80f1-4bac-b907-13017cb0300f,7,0.224,-0.10182,0.224
0352c200-80f1-4bac-b907-13017cb0300f,8,0.224,-0.10182,0.20364
0352c200-80f1-4bac-b907-13017cb0300f,9,0.28509,-0.10182,0.28509
0352c200-80f1-4bac-b907-13017cb0300f,10,0.28509,-0.10182,0.224
598ab893-3461-4462-84c0-cd8175f395d4,0,0.0,0.0,0.0
598ab893-3461-4462-84c0-cd8175f395d4,1,0.0,-0.03643,-0.03643
598ab893-3461-4462-84c0-cd8175f395d4,2,0.0,-0.03643,0.0
598ab893-3461-4462-84c0-cd8175f395d4,3,0.02915,-0.03643,0.02915
598ab893-3461-4462-84c0-cd8175f395d4,4,0.02915,-0.27326,-0.27326
598ab893-3461-4462-84c0-cd8175f395d4,5,0.02915,-0.27326,-0.13481
598ab893-3461-4462-84c0-cd8175f395d4,6,0.02915,-0.27326,-0.05101
598ab893-3461-4462-84c0-cd8175f395d4,7,0.02915,-0.27326,0.01457
598ab893-3461-4462-84c0-cd8175f395d4,8,0.16396,-0.27326,0.16396
