symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,2152.51,vol_trail,8,81.0,60,-0.4159,1.6232,0.04,0.39428571428571296,64010.11,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.783553404148477
FETUSDT,2026-03-20T21:54:59.999000+00:00,2026-03-20T21:59:59.999000+00:00,0.2260452,0.22651183142857143,0.0991,253.54,vol_trail,5,76.3,1,0.0,0.9515,0.04,0.0014714285714285719,64117.18,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",1.989060390844303
QNTUSDT,2026-03-20T21:14:59.999000+00:00,2026-03-20T23:14:59.999000+00:00,79.605918,79.79832285714286,0.1293,330.96,vol_trail,1,61.4,24,0.0,0.669,0.04,0.4842857142857134,64448.13,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",-0.5351206277365052
TAOUSDT,2026-03-24T02:04:59.999000+00:00,2026-03-24T03:49:59.999000+00:00,301.90036799999996,308.3511745714286,0.8152,2101.55,vol_trail,5,76.0,21,-0.1899,1.4065,0.04,3.09714285714285,66504.45,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.315524562257858
QNTUSDT,2026-03-24T10:04:59.999000+00:00,2026-03-24T13:09:59.999000+00:00,73.654728,74.35726842857142,0.771,2050.88,vol_trail,1,65.0,37,-0.1959,1.8897,0.04,0.3471428571428561,68453.73,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.9865696579584496
TAOUSDT,2026-03-24T16:14:59.999000+00:00,2026-03-24T20:49:59.999000+00:00,315.933174,329.65691257142856,2.358,6456.58,vol_trail,1,66.8,55,-0.5628,3.9968,0.04,2.3028571428571394,74705.58,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",2.1816505627711833
QNTUSDT,2026-03-24T20:24:59.999000+00:00,2026-03-24T21:14:59.999000+00:00,74.19483600000001,74.44510799999999,0.3254,890.25,vol_trail,2,67.8,10,0.0,2.1319,0.04,0.26642857142857373,75595.82,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.2779295673729954
TAOUSDT,2026-03-25T07:14:59.999000+00:00,2026-03-25T08:59:59.999000+00:00,343.878762,345.9600798571429,0.3521,1064.57,vol_trail,8,82.3,21,-0.4498,1.0074,0.04,2.1878571428571507,76574.84,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.462341113582387
CHZUSDT,2026-03-28T03:19:59.999000+00:00,2026-03-28T04:09:59.999000+00:00,0.036027204,0.03602422228571428,-0.0594,-181.88,vol_trail,3,71.9,10,0.0,0.8354,0.04,0.00012928571428571421,76239.32,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",2.074930813750011
CHZUSDT,2026-03-28T07:59:59.999000+00:00,2026-03-28T08:59:59.999000+00:00,0.036697338,0.037001169714285714,0.9516,2901.99,vol_trail,1,63.1,12,0.0,2.6178,0.04,0.0001207142857142865,78974.44,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.8931891777487717
