trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
55d0bed7-14fe-494a-98fa-fdb29fdd2672,1,0.18295,0.0,0.18295
55d0bed7-14fe-494a-98fa-fdb29fdd2672,2,0.40568,0.0,0.40568
e68911ce-9e28-4753-9a44-7cac87c30f15,0,0.0,0.0,0.0
e68911ce-9e28-4753-9a44-7cac87c30f15,1,0.14621,0.0,0.14621
e68911ce-9e28-4753-9a44-7cac87c30f15,2,0.14621,-0.33142,-0.33142
e68911ce-9e28-4753-9a44-7cac87c30f15,3,0.14621,-0.33142,0.09748
e68911ce-9e28-4753-9a44-7cac87c30f15,4,0.46789,-0.33142,0.46789
e68911ce-9e28-4753-9a44-7cac87c30f15,5,0.46789,-0.33142,0.39478
e68911ce-9e28-4753-9a44-7cac87c30f15,6,0.46789,-0.33142,0.21445
e68911ce-9e28-4753-9a44-7cac87c30f15,7,0.46789,-0.33142,0.06336
68f6425b-0920-457d-bb73-9920e0a58b4d,0,0.0,0.0,0.0
68f6425b-0920-457d-bb73-9920e0a58b4d,1,0.0,-0.08454,-0.08454
68f6425b-0920-457d-bb73-9920e0a58b4d,2,0.0,-0.08454,-0.0372
68f6425b-0920-457d-bb73-9920e0a58b4d,3,0.0,-0.08454,-0.07778
68f6425b-0920-457d-bb73-9920e0a58b4d,4,0.0913,-0.08454,0.0913
68f6425b-0920-457d-bb73-9920e0a58b4d,5,0.2029,-0.08454,0.2029
68f6425b-0920-457d-bb73-9920e0a58b4d,6,0.2029,-0.08454,0.18599
68f6425b-0920-457d-bb73-9920e0a58b4d,7,0.29082,-0.08454,0.29082
68f6425b-0920-457d-bb73-9920e0a58b4d,8,0.29082,-0.08454,0.24348
68f6425b-0920-457d-bb73-9920e0a58b4d,9,0.35507,-0.08454,0.35507
68f6425b-0920-457d-bb73-9920e0a58b4d,10,0.35507,-0.08454,0.06763
68f6425b-0920-457d-bb73-9920e0a58b4d,11,0.35507,-0.0913,-0.0913
78a68c85-9618-48ad-9c1e-4ae8e605589b,0,0.0,0.0,0.0
78a68c85-9618-48ad-9c1e-4ae8e605589b,1,0.48046,0.0,0.48046
3bd6f886-4ae2-412f-9844-9ad0a692cd62,0,0.0,0.0,0.0
3bd6f886-4ae2-412f-9844-9ad0a692cd62,1,0.41315,0.0,0.41315
8456fd84-0c97-4f7d-be32-2d8a603b30a6,0,0.0,0.0,0.0
8456fd84-0c97-4f7d-be32-2d8a603b30a6,1,0.01392,0.0,0.01392
8456fd84-0c97-4f7d-be32-2d8a603b30a6,2,0.01392,-0.05258,-0.05258
8456fd84-0c97-4f7d-be32-2d8a603b30a6,3,0.01392,-0.05258,0.00232
8456fd84-0c97-4f7d-be32-2d8a603b30a6,4,0.26987,-0.05258,0.26987
8456fd84-0c97-4f7d-be32-2d8a603b30a6,5,0.46551,-0.05258,0.46551
8456fd84-0c97-4f7d-be32-2d8a603b30a6,6,0.648,-0.05258,0.648
8456fd84-0c97-4f7d-be32-2d8a603b30a6,7,0.79801,-0.05258,0.79801
8456fd84-0c97-4f7d-be32-2d8a603b30a6,8,0.85446,-0.05258,0.85446
