trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
0cf10636-493b-4bae-a3eb-a462b311d6d7,DASHUSDT,2026-05-04T21:59:59.999000+00:00,7,80.6,4.2453,2.8979,1.0816,21,37.4964,-0.3213,1.344,1.2976,5,1,0,1,1,1,1,-1.0,stop_loss,14
97c31ca6-90c3-4983-ba29-b9ca2342552d,QNTUSDT,2026-02-07T18:29:59.999000+00:00,1,61.2,-0.0953,0.2347,0.4316,18,-4.0059,0.4366,-0.5113,2.5175,4,0,1,0,1,1,1,0.3557,vol_trail,46
01832077-09ea-42ea-b27d-0de16cf6a645,ICPUSDT,2026-05-06T15:49:59.999000+00:00,5,76.8,3.0781,2.1165,0.9368,15,36.0614,-0.2918,1.105,0.9901,5,1,0,1,1,1,1,0.0833,vol_trail,7
d5d50f11-d378-4519-8d31-a64803791680,ICPUSDT,2026-05-06T21:39:59.999000+00:00,9,83.6,0.5878,2.1165,0.8553,21,36.0614,-0.2918,0.2308,0.4373,4,1,0,0,1,1,1,0.1033,vol_trail,17
72c82fe3-e4a4-40c8-8832-29def1f334f5,ICPUSDT,2026-05-07T21:29:59.999000+00:00,1,58.5,-0.9887,1.6353,0.41,21,29.5589,0.3217,-1.0087,2.3364,4,0,1,0,1,1,1,2.9112,vol_trail,39
64b3f0e9-0361-4a5f-a8a7-9a4aea040a19,ICPUSDT,2026-05-08T18:14:59.999000+00:00,1,56.0,-1.1421,1.9876,0.6236,18,54.5066,-0.4391,-0.8349,2.1991,4,0,1,0,1,1,1,4.19,vol_trail,24
fa5510b7-cb49-44c9-a24c-eeb6cf30dc25,ICPUSDT,2026-05-09T21:49:59.999000+00:00,1,62.2,-1.045,2.8959,0.2938,21,49.6186,0.053,-0.7773,2.5015,4,0,1,0,1,1,1,-1.0,stop_loss,18
5500fe1f-2142-41ad-a42f-28beafb7cf2a,XLMUSDT,2026-02-28T15:24:59.999000+00:00,1,54.5,-0.2054,1.4277,0.4799,15,5.0198,0.8408,-1.2667,3.0169,4,0,1,0,1,1,1,0.0154,vol_trail,24
3943adfc-4604-4361-b745-f24f92919dcd,XLMUSDT,2026-03-02T15:09:59.999000+00:00,2,69.4,4.1826,0.3453,0.6001,15,-4.3104,-0.3269,0.482,-0.2419,5,1,0,1,1,1,1,0.3017,vol_trail,25
1d46fc04-db93-4285-bc59-bdf9a6ad4330,XLMUSDT,2026-04-16T18:19:59.999000+00:00,1,59.7,-0.1173,1.2637,0.4236,18,10.243,-0.9526,-0.2412,2.0539,4,0,1,0,1,1,1,1.1087,vol_trail,25
c2eab294-b216-48ba-a12f-54fbd292ccbc,XLMUSDT,2026-05-10T16:09:59.999000+00:00,1,62.5,3.5243,1.5079,0.332,16,6.1604,-0.2235,-0.5783,-0.6063,4,0,0,1,1,1,1,3.0467,vol_trail,31
bc9648cc-b23f-4456-b37b-732b7d27e405,XLMUSDT,2026-05-14T18:14:59.999000+00:00,2,67.6,0.7927,0.3821,0.4012,18,-0.0739,0.6173,0.1819,2.0335,5,1,1,0,1,1,1,0.4547,vol_trail,15
10a6237a-ff87-4a66-a98c-1f94cc292de1,APTUSDT,2026-02-25T15:04:59.999000+00:00,1,64.2,3.5574,1.7658,0.66,15,13.779,-0.4616,0.293,-0.0936,4,1,0,1,0,1,1,4.067,vol_trail,35
42583e71-640e-45eb-8cc3-5e5fcc4ba1e4,APTUSDT,2026-02-26T15:29:59.999000+00:00,2,70.1,3.2342,0.8781,0.6706,15,9.0159,0.7657,0.1032,1.1357,4,1,0,1,0,1,1,0.036,vol_trail,4
b0e113d2-6f15-4708-a5a3-ca3109b47f95,APTUSDT,2026-03-24T19:39:59.999000+00:00,1,64.5,0.2991,1.7031,0.465,19,17.5509,0.132,0.2838,2.2269,5,1,1,0,1,1,1,3.3339,vol_trail,55
2435ab85-d919-48d6-85aa-76fef2ea6cab,APTUSDT,2026-03-25T16:29:59.999000+00:00,6,78.6,4.1028,0.2377,0.3919,16,6.7865,0.2766,-0.1752,-0.0693,4,0,0,1,1,1,1,-1.0,stop_loss,8
a156ac09-a394-490a-a50d-87ba9a456b94,APTUSDT,2026-04-13T21:34:59.999000+00:00,1,62.2,-0.8323,0.3688,0.3221,21,5.0668,-0.3922,-1.2264,2.1622,4,0,1,0,1,1,1,1.9688,vol_trail,39
eab2d658-422d-4010-b797-c027f2e993de,APTUSDT,2026-05-10T16:04:59.999000+00:00,2,67.8,3.0551,1.888,0.344,16,16.4042,-0.0829,0.3203,-0.6084,5,1,0,1,1,1,1,4.8545,vol_trail,19
f010b3d4-d79d-4eca-962a-e66961c85588,ETHUSDT,2026-04-15T17:29:59.999000+00:00,9,84.4,3.3367,0.7096,0.2726,17,5.1237,-0.5978,0.0881,1.3616,4,1,0,1,0,1,1,0.6072,vol_trail,23
bf9c43a4-20a7-4200-a98c-e079c3c5b80e,ETHUSDT,2026-04-20T17:19:59.999000+00:00,9,84.1,1.4233,1.1819,0.2803,17,-1.962,-0.4873,-0.2691,2.4996,4,0,1,0,1,1,1,0.0035,vol_trail,9
28117281-d462-4ffc-821f-e55f610f674c,ETHUSDT,2026-04-28T19:44:59.999000+00:00,2,67.8,0.4799,0.4056,0.1412,19,-1.742,0.2902,0.0322,2.6007,4,1,1,0,1,0,1,-1.0,stop_loss,18
40353593-ca34-4814-aade-921c4b99dcb7,ETHUSDT,2026-05-04T14:54:59.999000+00:00,7,79.2,2.2409,1.3186,0.3603,14,4.2012,-0.3835,0.2362,0.0921,4,1,0,0,1,1,1,-1.0,stop_loss,5
