trade_uuid,symbol,decile,pnl_r,exit_reason,mae,mfe,winner
30cc6a43-7116-4654-9f8b-3880a872ec67,NMRUSDT,1,1.3187,vol_trail,0.0,2.01677,True
321ca617-9de6-48dd-b2b0-f03fca828f74,NMRUSDT,1,-1.0,stop_loss,-0.93333,0.25062,False
24eb885e-e54d-456d-8290-0831b7b0ccf4,NMRUSDT,7,1.1176,vol_trail,-0.76765,1.49112,True
48e6e4ae-adcb-454c-8a76-c926dc641462,PENDLEUSDT,1,0.5354,vol_trail,-0.76654,0.71331,True
a74b36e6-0087-4dd6-a150-85ca35661a08,PENDLEUSDT,1,4.8268,vol_trail,-0.15556,6.20392,True
074d4cd1-2da3-4d46-bd9e-7bc23eb7c2fe,PENDLEUSDT,5,1.0887,vol_trail,0.0,1.88255,True
37785db8-eb37-42a3-9d1f-5365b9f93f22,PENDLEUSDT,1,-1.0,stop_loss,-1.38735,0.33239,False
033fb20b-804f-493d-babd-071765605c8c,PENDLEUSDT,1,-1.0,stop_loss,-1.4289,0.0,False
ba073d22-2271-4a52-8384-1af344654a8a,PENDLEUSDT,5,-1.0,stop_loss,-0.80893,0.13811,False
e9c7a685-b144-45e3-90e8-2f91d4276a8a,ARBUSDT,9,0.015,vol_trail,-0.07,0.28,True
f6c77373-7a0a-4d71-9787-7460548771d4,ARBUSDT,5,0.8812,vol_trail,-0.73043,1.29855,True
79ac0246-7913-4c2f-923b-1fd85ca59d07,ARBUSDT,5,0.0593,vol_trail,-0.67407,0.72593,True
377a102f-ba56-402a-b858-a9a955bdb9b2,ARBUSDT,7,0.9327,vol_trail,0.0,1.99231,True
e609bc69-1b27-4823-8e57-06ecd3a47632,ARBUSDT,9,2.305,vol_trail,0.0,2.84667,True
4a753a52-8a1a-4014-aab7-3c3c236f3b2f,ARBUSDT,2,-1.0,stop_loss,-0.98462,0.06154,False
e9b4bcb2-520d-4731-ba3a-3029aedee023,ARBUSDT,8,-1.0,stop_loss,-0.875,0.0,False
40caffaa-d529-4a1c-94b9-3f09a1736e53,RENDERUSDT,5,-1.0,stop_loss,-1.17419,0.45161,False
be003c5e-4300-4641-a288-07b91d1ed75b,RENDERUSDT,1,-1.0,stop_loss,-1.17209,0.08682,False
4f04d9d7-2002-4732-b03a-b80dce50dcfd,RENDERUSDT,1,0.8077,vol_trail,-0.05385,1.50769,True
265a8c1f-7c7c-4be3-85b1-074aaf348bee,RUNEUSDT,1,-1.0,stop_loss,-0.97463,0.0,False
b3226120-be29-499b-8e49-f5222fabd2bc,FETUSDT,1,-1.0,stop_loss,-1.376,0.096,False
7e4738a7-0073-4eac-8891-b2a5c84ebd73,FETUSDT,5,0.1515,vol_trail,0.0,0.95146,True
af89541b-9b59-4571-bd3d-92447a85bc46,FETUSDT,1,0.6,vol_trail,-0.06087,1.52174,True
78f95338-0369-485e-9abe-2909aaab2f6e,DOTUSDT,1,-1.0,stop_loss,-1.06667,0.71111,False
7348f1d2-c400-4106-8daf-501bf8ef04d4,DOTUSDT,6,0.5181,vol_trail,-0.46425,1.33472,True
ce3c2e90-80e1-4977-b4c9-73fc89b64851,DOTUSDT,5,-1.0,stop_loss,-0.99556,0.14933,False
0d5bde6f-49e8-42b2-a6fa-ab439563462e,DOTUSDT,9,0.0633,vol_trail,0.0,0.4962,True
9871ff07-03d1-4adc-a2d2-2e1085afdee5,DOTUSDT,5,2.1854,vol_trail,0.0,2.86829,True
9822f135-8f7b-4b4c-9f9e-9d7d51b1f82c,DOTUSDT,7,0.5471,vol_trail,0.0,1.81176,True
43fdbb69-07dc-4d56-8f51-cdbfa34d11a9,DOTUSDT,2,3.3278,vol_trail,0.0,3.81111,True
a9ce88ca-47c6-45c4-b01d-456efe88e17f,DOTUSDT,1,0.4053,vol_trail,-0.88421,1.4,True
ca74ba94-d267-485f-a7a1-e11dd6e21d26,DOTUSDT,1,-1.0,stop_loss,-0.9679,0.34568,False
3484b676-772d-4882-8dfe-147ecc1e9438,DOTUSDT,1,0.1636,vol_trail,-0.59394,0.84848,True
045e281d-d9c9-4f66-a2ca-85410184141a,TONUSDT,1,4.7153,vol_trail,0.0,6.10265,True
3f0577a7-438e-4c94-834b-9b5dedcc15c6,TONUSDT,1,-1.0,stop_loss,-0.73415,0.84797,False
f79be9da-a0b2-4f36-a553-6a27ae7012e4,TONUSDT,1,0.044,vol_trail,0.0,1.3,True
ed915517-e130-4041-93b6-d2ff9097de47,TONUSDT,1,4.009,vol_trail,-0.80207,6.67748,True
4afcb010-2a95-4334-afc1-8caf9f0cc524,TONUSDT,1,0.7867,vol_trail,0.0,1.87368,True
dd42e6cf-590c-4527-ad90-6e0b6b82bd05,TONUSDT,7,-1.0,stop_loss,-0.76989,0.69198,False
20278c79-1b7a-4c82-8026-e8a855ac7781,SOLUSDT,2,-1.0,stop_loss,-0.93995,0.6156,False
621bbaf9-6b8e-45f6-a5f7-3dfee43dfeb0,SOLUSDT,5,0.2618,vol_trail,0.0,0.73535,True
be66b344-225a-417a-9105-5a69ce9990ba,SOLUSDT,9,0.6227,vol_trail,-0.38281,0.94063,True
1a155a98-ff58-4e8c-8fc9-87e95274530c,SOLUSDT,2,-1.0,stop_loss,-0.94239,0.0,False
43c996a8-c94f-4c74-bd76-6359ac28fb7e,SOLUSDT,1,0.001,vol_trail,-0.45949,0.71795,True
2c404974-5b58-4888-8ef3-39d18c2c696b,SOLUSDT,8,1.1685,vol_trail,0.0,2.18333,True
d2eb1ac8-ea9d-4a9d-8de3-444764db19a9,SOLUSDT,5,2.0231,vol_trail,-0.28936,2.77447,True
44138b8e-c955-462f-a51b-82b932c39dd8,SOLUSDT,2,-1.0,stop_loss,-1.04407,0.22542,False
46a03393-1a2f-46fd-9a02-6eabd297b493,1000LUNCUSDT,7,0.3138,vol_trail,-0.05591,1.55607,True
ac041a0b-0cb0-4054-99c0-96e863cdbf01,1000LUNCUSDT,1,0.225,vol_trail,-0.15909,0.875,True
4ac08349-5f5d-4856-a5af-45e10da7c221,1000LUNCUSDT,2,1.2411,vol_trail,0.0,2.52903,True
15372a70-4822-4e98-ae8b-f9d07e820dad,1000LUNCUSDT,1,0.5245,vol_trail,-0.007,1.407,True
2b8f5d50-3549-4ffc-980d-cc18a7787a28,1000LUNCUSDT,1,-1.0,stop_loss,-0.9521,0.5426,False
bd45889c-7acc-4bba-a5aa-d42761adec7d,ENAUSDT,1,0.0151,vol_trail,-0.5283,0.58113,True
6280ac9b-cb5b-4b71-be9a-e10429200435,ENAUSDT,1,3.2,vol_trail,-0.09106,4.18862,True
900dfee4-3677-40e6-b1bf-9c99a6872e59,ENAUSDT,1,1.5548,vol_trail,0.0,2.16774,True
8c568cc7-7764-481a-b5e6-784741e9d4a9,ENAUSDT,1,0.0065,vol_trail,0.0,0.9702,True
5d5375c6-48b2-4e48-8667-650dad0f69a2,ENAUSDT,8,0.2766,vol_trail,0.0,1.19949,True
4888ff04-2e1e-4cd1-9a74-80fb3c2fee6a,ENAUSDT,2,3.0984,vol_trail,-0.71832,4.66178,True
f4c20ba7-ef88-4e70-ba38-4c39a3f5728c,ENAUSDT,1,1.292,vol_trail,-0.09478,2.0141,True
673c7d4f-9abe-41e2-8650-0fe2c3f16fd7,ENAUSDT,5,1.9154,decay,0.0,2.09487,True
2a5a5676-53b4-4e22-be62-036c76518cc4,ENAUSDT,7,2.8454,vol_trail,-0.76863,4.31192,True
15003fa2-ede3-4086-815a-a2ef33b3884b,ENAUSDT,1,0.1744,vol_trail,-0.03816,0.79182,True
39efa596-072e-4d9c-b9df-5826753267b0,ENAUSDT,1,-1.0,stop_loss,-1.10216,0.8091,False
67315802-c1d6-4f6c-beca-786a1adcb06b,1000PEPEUSDT,7,-1.0,stop_loss,-1.19691,0.28841,False
f28e470d-6960-40e2-9ebb-a7136ce35630,1000PEPEUSDT,7,0.5311,vol_trail,-0.02888,1.41896,True
e4bbc47e-c000-45d6-865a-9857b988b9d4,XRPUSDT,5,0.0013,vol_trail,-0.87273,0.59091,True
3f2ccafe-14f3-4488-8aa3-f11fdf02d1a3,XRPUSDT,8,0.9308,vol_trail,-0.01308,1.87757,True
b098e892-2e7b-4463-ba27-49698201f6f6,XRPUSDT,7,2.5539,vol_trail,0.0,3.63646,True
913b0285-7d14-4dbf-a89d-660cf1f7579a,XRPUSDT,7,0.8476,vol_trail,0.0,1.3201,True
24ecd074-8405-46cc-8a2f-a40bcd1459e3,XRPUSDT,5,-1.0,stop_loss,-0.89463,0.0,False
9ff08e61-64bb-4d9b-b00f-cfbc0a8e25b8,FILUSDT,5,0.4354,vol_trail,-0.63797,1.27595,True
130ff805-b569-4226-8dc9-c174e2661978,FILUSDT,1,-1.0,stop_loss,-0.68293,0.0,False
b3716be5-8615-4402-805b-eeeb4b3429a2,FILUSDT,1,-1.0,stop_loss,-0.93333,0.0,False
5b487379-a65b-4d4b-9da7-5e326fa79333,FILUSDT,1,1.0545,vol_trail,-0.1697,2.12121,True
26009a56-cbd5-4ddf-a6b7-a58b5b16ecb9,FILUSDT,1,-1.0,stop_loss,-0.8,0.0,False
cd6cd990-b5be-4765-8b87-036df3f89f82,BNBUSDT,2,3.0652,vol_trail,0.0,3.74781,True
bdb43eaa-3df1-4244-b43b-25f011bee44e,BNBUSDT,2,-1.0,stop_loss,-0.82486,0.28,False
13764be1-315c-4e42-902d-f03d497d0002,BNBUSDT,2,0.1082,vol_trail,-0.51213,0.63459,True
d818eda0-5a19-4734-884b-a0790dae8020,BNBUSDT,1,0.0939,vol_trail,-0.56024,0.82714,True
60260856-a179-488c-a004-09d8287a7e75,TAOUSDT,2,-1.0,stop_loss,-1.24197,0.0,False
52f91e0f-6fbc-4da9-959c-8eb656f39b56,TAOUSDT,8,0.5419,vol_trail,-0.27581,1.42376,True
5faf6f53-72a7-4e8f-a793-d51ae9ebc2ae,TAOUSDT,1,1.251,vol_trail,-0.06839,2.02169,True
1bf2f1fa-6032-4150-b559-6450a9540264,TAOUSDT,5,0.016,vol_trail,-0.35633,0.5553,True
4befcb80-8619-4ff3-ac8d-5cd6f2dd39c6,TAOUSDT,9,0.3868,vol_trail,-0.3367,1.23244,True
d95bb60a-6bfc-4eb6-a6cb-243d52887970,TAOUSDT,1,-1.0,stop_loss,-1.0266,0.75235,False
42451648-a86b-47c7-8d21-a112ce1b205a,TAOUSDT,1,2.9418,vol_trail,-0.07773,4.5595,True
2a052684-c505-4748-8ca3-b77dcc122ca1,TAOUSDT,2,-1.0,stop_loss,-0.87661,0.15256,False
1992bff4-6f1c-4377-b3f5-75100c5586c6,TAOUSDT,2,1.048,vol_trail,-0.05065,2.2991,True
f39006b1-a8da-4f9f-a214-a5bda9b4e033,TAOUSDT,1,-1.0,stop_loss,-0.92494,0.4585,False
9a5c75f0-0f99-4c6b-ba41-1432e7d3595f,CHZUSDT,1,-1.0,stop_loss,-1.03871,0.82419,False
15792e65-f784-4c6b-b413-736417771edd,CHZUSDT,9,0.7172,vol_trail,0.0,0.96552,True
1a759ebf-1790-4fb0-8f34-d60a68f2ad41,CHZUSDT,1,1.0944,vol_trail,-0.03889,2.02222,True
e052057e-4eba-4bbc-b576-a39d8c70b5b0,CHZUSDT,1,0.3009,vol_trail,-0.78336,1.1327,True
3155e239-553b-4199-acb5-e9cd59043fc5,CHZUSDT,2,-1.0,stop_loss,-0.93333,0.0,False
7caa1d03-fbea-495c-a525-360da6634db5,CHZUSDT,1,0.912,vol_trail,-0.29292,2.29169,True
69b4d706-7b34-42ca-a075-16cfe9d6d813,CHZUSDT,1,-1.0,stop_loss,-1.49333,0.61091,False
657a1228-925b-422e-bbd2-16705ea8ffc9,DASHUSDT,1,1.0049,vol_trail,-0.21767,2.1371,True
865c4942-495a-428f-997d-55fced63065e,DASHUSDT,5,-1.0,stop_loss,-0.6,0.27692,False
0cf10636-493b-4bae-a3eb-a462b311d6d7,DASHUSDT,7,-1.0,stop_loss,-1.25908,0.16105,False
97c31ca6-90c3-4983-ba29-b9ca2342552d,QNTUSDT,1,0.3557,vol_trail,-0.44742,1.11134,True
01832077-09ea-42ea-b27d-0de16cf6a645,ICPUSDT,5,0.0833,vol_trail,-0.36458,0.75833,True
d5d50f11-d378-4519-8d31-a64803791680,ICPUSDT,9,0.1033,vol_trail,-0.27692,0.70769,True
72c82fe3-e4a4-40c8-8832-29def1f334f5,ICPUSDT,1,2.9112,vol_trail,0.0,4.7716,True
64b3f0e9-0361-4a5f-a8a7-9a4aea040a19,ICPUSDT,1,4.19,vol_trail,-0.22,6.16,True
fa5510b7-cb49-44c9-a24c-eeb6cf30dc25,ICPUSDT,1,-1.0,stop_loss,-1.06667,0.26667,False
5500fe1f-2142-41ad-a42f-28beafb7cf2a,XLMUSDT,1,0.0154,vol_trail,-0.29764,0.33071,True
3943adfc-4604-4361-b745-f24f92919dcd,XLMUSDT,2,0.3017,vol_trail,0.0,1.46416,True
1d46fc04-db93-4285-bc59-bdf9a6ad4330,XLMUSDT,1,1.1087,vol_trail,-0.08563,1.65545,True
c2eab294-b216-48ba-a12f-54fbd292ccbc,XLMUSDT,1,3.0467,vol_trail,0.0,4.79071,True
bc9648cc-b23f-4456-b37b-732b7d27e405,XLMUSDT,2,0.4547,vol_trail,0.0,1.67155,True
10a6237a-ff87-4a66-a98c-1f94cc292de1,APTUSDT,1,4.067,vol_trail,0.0,5.39016,True
42583e71-640e-45eb-8cc3-5e5fcc4ba1e4,APTUSDT,2,0.036,vol_trail,-0.06762,1.11262,True
b0e113d2-6f15-4708-a5a3-ca3109b47f95,APTUSDT,1,3.3339,vol_trail,-0.77913,4.91826,True
2435ab85-d919-48d6-85aa-76fef2ea6cab,APTUSDT,6,-1.0,stop_loss,-1.16902,0.1697,False
a156ac09-a394-490a-a50d-87ba9a456b94,APTUSDT,1,1.9688,vol_trail,0.0,3.08364,True
eab2d658-422d-4010-b797-c027f2e993de,APTUSDT,2,4.8545,vol_trail,-0.06188,7.52855,True
f010b3d4-d79d-4eca-962a-e66961c85588,ETHUSDT,9,0.6072,vol_trail,-0.59906,0.92543,True
bf9c43a4-20a7-4200-a98c-e079c3c5b80e,ETHUSDT,9,0.0035,vol_trail,-0.63671,0.19993,True
28117281-d462-4ffc-821f-e55f610f674c,ETHUSDT,2,-1.0,stop_loss,-0.95387,0.72095,False
40353593-ca34-4814-aade-921c4b99dcb7,ETHUSDT,7,-1.0,stop_loss,-1.42791,0.0,False
