symbol,ts,tier,direction,share,hour,fwd_1h,fwd_2h,fwd_4h,fwd_8h,fwd_24h,dd_24h,ru_24h
ARBUSDT,1769788800,0.1,short_dom,0.1226,16,-0.10144927536230722,1.9275362318840625,-1.014492753623185,-0.2028985507246426,-14.202898550724587,-17.0434782608695,2.8405797101449117
XLMUSDT,1769796000,0.1,long_dom,0.1144,18,0.07486631016044014,-1.8117647058823314,-2.350802139037409,-1.9914438502673713,-16.657754010695136,-22.048128342245914,0.9433155080213962
UNIUSDT,1769796000,0.1,long_dom,0.1343,18,-0.27613412228796275,-2.2919132149901444,-1.0216962524654818,-0.966469428007894,-14.469428007889556,-20.10256410256411,0.773175542406325
NEARUSDT,1769796000,0.1,long_dom,0.1565,18,-0.4487179487179388,-2.1538461538461537,-1.7051282051281953,-1.794871794871795,-16.602564102564095,-22.705128205128176,0.6282051282051382
CHZUSDT,1769796000,0.1,mixed,0.1394,18,0.21414913957936038,-2.516252390057359,-0.8030592734225503,-3.961759082217972,-18.63097514340348,-25.108986615678848,2.0879541108986754
DOTUSDT,1769796000,0.1,long_dom,0.1358,18,0.07954545454544572,-1.9886363636363724,-1.5113636363636451,-2.3863636363636362,-19.090909090909072,-25.13636363636362,0.7954545454545455
ADAUSDT,1769824800,0.1,long_dom,0.1176,2,-1.3999999999999582,-4.415384615384585,-9.04615384615382,-9.26153846153841,-25.52307692307679,-54.70769230769204,0.7538461538461267
CHZUSDT,1769839200,0.1,long_dom,0.1798,6,0.09491525423728446,-0.8542372881355931,-3.3694915254237134,-13.47796610169492,-11.152542372881369,-35.49830508474584,0.8067796610169673
ADAUSDT,1769839200,0.1,long_dom,0.1427,6,0.9333333333333333,-1.0266666666666564,-0.18666666666664594,-12.133333333333281,-15.773333333333293,-39.573333333333295,1.5866666666666978
FETUSDT,1769842800,0.1,long_dom,0.1043,7,-3.3980582524271954,-3.3980582524271954,-3.8058252427184516,-17.805825242718488,-16.038834951456355,-46.21359223300982,0.5436893203883286
ARBUSDT,1769846400,0.1,long_dom,0.1911,8,0.24778761061944285,-0.6194690265486759,-2.2300884955752607,-11.893805309734597,-13.132743362831915,-31.097345132743516,1.4867256637167947
1000LUNCUSDT,1769846400,0.1,long_dom,0.1513,8,-0.9618320610686986,-0.7480916030534405,-1.60305343511451,-10.68702290076335,-5.877862595419858,-30.08396946564882,0.9618320610686986
APTUSDT,1769846400,0.2,long_dom,0.2113,8,-2.1831368993653553,-1.4215775158658068,-4.442429737080685,-14.710788757932917,-15.078875793291049,-32.93744333635545,1.0661831368993622
DOTUSDT,1769846400,0.35,long_dom,0.4367,8,0.4666666666666684,0.8166666666666826,-0.11666666666665414,-9.566666666666675,-10.383333333333358,-27.883333333333397,1.8666666666666736
NEARUSDT,1769846400,0.1,long_dom,0.1823,8,-0.44680851063831656,0.0,-1.9361702127659832,-9.97872340425535,-13.404255319149,-30.085106382978832,1.1914893617021334
FILUSDT,1769846400,0.1,long_dom,0.1747,8,-0.15384615384613695,-1.3846153846153693,-2.1538461538461564,-14.615384615384615,-13.076923076923075,-31.84615384615385,1.5384615384615403
FILUSDT,1769860800,0.1,long_dom,0.1433,12,-3.44262295081964,-13.311475409835989,-18.59016393442617,-28.459016393442518,-16.75409836065568,-44.29508196721298,0.0
XLMUSDT,1769860800,0.1,long_dom,0.1165,12,-4.524017467248917,-10.331877729257645,-15.609898107714733,-20.459970887918512,-14.529839883551697,-39.37117903930134,0.6317321688500837
NEARUSDT,1769860800,0.1,long_dom,0.1198,12,-1.8805970149253592,-10.447761194029855,-11.283582089552247,-22.776119402985163,-17.134328358208993,-39.49253731343296,0.41791044776119607
CHZUSDT,1769864400,0.1,long_dom,0.1663,13,-8.24505928853757,-11.786561264822177,-19.976284584980323,-13.003952569169996,0.3873517786561313,-33.92094861660093,4.316205533596832
1000LUNCUSDT,1769864400,0.1,long_dom,0.1923,13,-10.024691358024596,-9.506172839506105,-25.580246913580012,-21.259259259259068,14.259259259259096,-43.55555555555512,14.691358024691203
DOTUSDT,1769864400,0.1,long_dom,0.1075,13,-10.639999999999995,-9.893333333333327,-23.33333333333335,-18.480000000000008,-17.54666666666669,-42.18666666666669,0.7466666666666678
ADAUSDT,1769868000,0.35,long_dom,1.5032,14,-0.7493917274939288,-1.975669099756699,-4.871046228710471,-3.3381995133820035,-1.8734793187347936,-10.014598540145991,0.7834549878345387
APTUSDT,1769868000,0.35,long_dom,1.1433,14,-0.250436300174519,-0.8246073298429206,-5.185863874345536,-2.541012216404872,-1.7774869109947544,-9.595986038394393,1.301047120418851
ARBUSDT,1769868000,0.35,long_dom,1.2595,14,0.29288702928870275,-0.05857740585775031,-4.276150627615057,-1.9916317991631853,-1.4058577405857797,-9.13807531380752,1.6401673640167322
FETUSDT,1769868000,0.35,long_dom,0.7942,14,-0.3888888888888812,-1.3827160493827046,-4.7530864197530684,-2.3765432098765404,-0.5185185185185083,-9.419753086419727,1.1666666666666676
RUNEUSDT,1769868000,0.1,long_dom,0.1431,14,0.024999999999997323,-1.2500000000000049,-4.850000000000008,-3.4000000000000106,-3.450000000000005,-10.050000000000034,1.7250000000000094
TONUSDT,1769871600,0.1,short_dom,0.1739,15,-3.3825503355704387,-5.167785234899301,-5.798657718120765,-0.3758389261744833,-3.3959731543623835,-14.429530201342203,2.8859060402684524
NEARUSDT,1769875200,0.1,long_dom,0.1071,16,-5.126760563380298,-6.605633802816933,-5.4225352112676335,-1.3802816901408494,-5.619718309859183,-13.309859154929608,0.39436619718309984
FILUSDT,1769875200,0.1,long_dom,0.1772,16,-4.488549618320615,-5.343511450381684,-4.595419847328237,0.10687022900764555,-1.8167938931297607,-11.96946564885496,2.244274809160319
ICPUSDT,1769878800,0.2,long_dom,0.2492,17,-0.7353535353535283,-0.6505050505050404,1.0464646464646548,3.309090909090915,-0.05656565656565023,-5.062626262626248,4.044444444444443
XLMUSDT,1769878800,0.2,long_dom,0.2431,17,0.1513816579895835,1.2895474569483378,2.478173808570292,4.547056467761323,0.7849419303163722,-3.88546255506608,5.786143372046461
CHZUSDT,1769878800,0.35,long_dom,0.5573,17,-0.17632241813601304,0.07052896725440522,2.221662468513862,3.720403022670028,4.496221662468522,-4.443324937027712,7.740554156171285
UNIUSDT,1769878800,0.1,long_dom,0.1401,17,-0.6790299572039988,-0.07988587731811699,1.338088445078453,3.0556348074179724,0.559201141226819,-4.7532097004279565,3.9543509272467867
1000LUNCUSDT,1769878800,0.35,long_dom,0.4676,17,-1.0076569678407332,-0.04287901990811473,1.0719754977029128,3.5160796324655563,11.641653905053632,-4.4594180704441095,12.39203675344566
DOTUSDT,1769878800,0.1,long_dom,0.1928,17,-1.277372262773718,-0.05109489051094327,1.3284671532846726,2.7080291970802883,0.30656934306569367,-5.160583941605838,3.218978102189778
APTUSDT,1769882400,0.2,long_dom,0.3283,18,0.7593800978792877,0.8107667210440456,2.472267536704739,3.853996737357268,2.563621533442086,-0.18841761827079137,5.047308319738994
ARBUSDT,1769882400,0.2,long_dom,0.2161,18,0.5855513307984745,1.1178707224334568,2.076045627376422,3.8326996197718604,2.342205323193913,-0.1064638783269994,4.31178707224335
RENDERUSDT,1769882400,0.1,long_dom,0.1901,18,1.0198675496688734,1.1589403973509873,3.2450331125827687,5.6556291390728335,2.874172185430451,-0.13907284768212425,6.21192052980131
ADAUSDT,1769882400,0.35,long_dom,0.3739,18,0.3340563991323177,0.3947939262472953,1.3665943600867683,3.6442516268980483,1.8828633405640018,-0.8199566160520542,4.6160520607375215
PENDLEUSDT,1769882400,0.1,long_dom,0.1462,18,1.979797979797985,1.7299663299663413,2.069360269360275,3.6013468013468084,1.6309764309764425,-0.13198653198652813,5.727272727272744
TONUSDT,1769900400,0.1,mixed,0.181,23,-0.8067226890756125,-1.445378151260488,-0.3193277310924377,2.722689075630239,-2.4873949579831693,-7.277310924369735,4.084033613445358
ENAUSDT,1769904000,0.1,short_dom,0.1012,0,0.29473684210527046,-0.29473684210527046,0.0,1.4736842105263115,-1.4736842105263115,-10.02105263157891,3.2421052631578524
ENAUSDT,1769929200,0.1,short_dom,0.1193,7,-0.1666666666666485,0.9999999999999836,-2.166666666666662,-7.500000000000015,-7.666666666666664,-15.666666666666671,1.8333333333333186
WLDUSDT,1769958000,0.1,short_dom,0.1276,15,-0.46770601336302886,-0.34298440979956835,-0.5612472160356415,-1.0289532293986705,4.27171492204899,-3.866369710467709,4.801781737193749
FILUSDT,1769958000,0.2,long_dom,0.2268,15,0.0,0.10852713178293323,0.6511627906976717,-0.4341085271317811,4.9922480620154825,-3.798449612403097,5.751937984496087
1000LUNCUSDT,1769968800,0.35,long_dom,0.4313,18,-2.5895153313551025,-2.4233432245301736,-0.8170128585558867,-2.1602373887240467,-1.0939663699307713,-4.001978239366974,0.4015825914935693
NEARUSDT,1769986800,0.1,long_dom,0.1165,23,1.5555555555555556,1.5555555555555556,0.4666666666666667,-1.0888888888888888,2.099999999999991,-2.9555555555555553,5.0555555555555465
CHZUSDT,1769986800,0.2,mixed,0.2163,23,1.755700325732899,1.5048859934853442,-0.7296416938110769,-0.5700325732899029,0.3420195439739512,-5.33550488599349,2.530944625407166
1000LUNCUSDT,1769986800,0.1,long_dom,0.1415,23,-0.3291139240506279,0.5063291139240469,-0.8860759493670953,1.3164556962025291,0.227848101265822,-4.151898734177217,3.8987341772151844
FETUSDT,1769986800,0.2,long_dom,0.2095,23,1.186440677966103,1.186440677966103,0.0,-0.09491525423729086,1.8508474576271126,-3.6067796610169607,4.318644067796609
ADAUSDT,1769986800,0.1,long_dom,0.1903,23,1.1864406779661025,1.6610169491525286,0.237288135593213,-0.5084745762711869,4.508474576271179,-3.4576271186440817,5.966101694915255
FILUSDT,1769986800,0.2,long_dom,0.2626,23,1.6568047337278073,1.6568047337278073,0.7455621301775041,-0.3313609467455615,3.893491124260338,-2.5680473372781107,4.887573964497022
