trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
004ba33e-9d3c-4412-8d83-246e662d6a0a,1000LUNCUSDT,2026-02-02T15:14:59.999000+00:00,1,56.6,-0.1302,1.1294,0.6772,15,-2.8421,0.4018,-1.1974,2.122,4,0,1,0,1,1,1,0.225,vol_trail,27
a0beb722-a6c7-4547-84f7-6427ef665b38,1000LUNCUSDT,2026-02-03T19:14:59.999000+00:00,5,76.0,3.8923,0.2821,0.7654,19,-2.374,0.7412,-1.6402,0.3763,4,0,0,1,1,1,1,1.1939,vol_trail,16
eb2740b0-3c1e-44b4-89ac-35c69b5993b9,1000LUNCUSDT,2026-02-28T18:49:59.999000+00:00,2,68.7,-0.2321,3.6599,0.5876,18,21.5758,-0.1742,0.0724,2.1819,4,1,1,0,0,1,1,1.2411,vol_trail,2
083f8162-644f-4010-8653-ecc898510d72,1000LUNCUSDT,2026-04-27T19:34:59.999000+00:00,1,66.2,-0.3012,1.4989,0.8971,19,37.759,-0.7579,-1.225,2.1024,4,0,1,0,1,1,1,0.5245,vol_trail,29
f0670cca-1a28-46ee-8425-fb8c70f1fded,1000LUNCUSDT,2026-04-28T17:29:59.999000+00:00,1,63.4,-0.7012,4.6293,0.6219,17,48.7326,-0.1894,-1.5975,2.623,4,0,1,0,1,1,1,-1.0,stop_loss,20
b4ce248a-a257-42f8-b04c-52921aeb73c4,ENAUSDT,2026-03-02T15:14:59.999000+00:00,1,66.8,3.4927,0.401,0.8127,15,5.8223,0.0855,0.1854,-0.5466,5,1,0,1,1,1,1,3.2,vol_trail,74
c93daa0f-964e-4a00-8a42-5fb9866a0f27,ENAUSDT,2026-03-03T15:59:59.999000+00:00,1,54.8,-0.5241,0.587,0.6946,15,4.1171,-0.6601,-1.5357,2.2484,4,0,1,0,1,1,1,0.7396,vol_trail,8
bfb1ca50-ae2e-40dd-8492-ba58e1f802cd,ENAUSDT,2026-03-29T14:34:59.999000+00:00,1,59.9,0.364,0.3068,0.4346,14,-3.4152,0.7596,-1.7391,2.1352,4,0,1,0,1,1,1,-1.0,stop_loss,34
f9b5a383-4b86-4bd0-87c8-c91ca98fe8a9,ENAUSDT,2026-04-14T21:34:59.999000+00:00,2,67.1,-0.3701,1.073,0.2863,21,14.6136,-0.344,-1.2539,2.239,4,0,1,0,1,1,1,3.0984,vol_trail,61
dc5af5d9-10ec-4f24-a685-2c190c169cde,ENAUSDT,2026-04-15T16:14:59.999000+00:00,1,59.1,0.2718,0.3633,0.517,16,6.427,0.8882,-1.1005,2.2677,4,0,1,0,1,1,1,1.292,vol_trail,47
e35009da-e56d-407a-94fa-0362e91f71c3,ENAUSDT,2026-04-16T18:44:59.999000+00:00,5,75.5,2.4747,0.3214,0.7901,18,5.0688,0.4421,0.3892,0.7779,4,1,0,0,1,1,1,1.9154,decay,15
32fd4412-efeb-4cba-9c41-04c46872eb08,ENAUSDT,2026-04-17T16:39:59.999000+00:00,7,80.6,3.6446,1.6156,0.7715,16,18.2083,-0.8899,0.9456,0.2462,5,1,0,1,1,1,1,2.8454,vol_trail,47
9e54943a-0210-4ae4-bd21-6eae8fe3834d,ENAUSDT,2026-05-08T18:39:59.999000+00:00,8,81.1,6.9615,1.4158,0.6751,18,16.5691,0.2652,1.028,0.1197,5,1,0,1,1,1,1,-1.0,stop_loss,5
9949b34f-5d50-4dea-aab8-d6ef664376e7,1000PEPEUSDT,2026-04-18T21:29:59.999000+00:00,7,78.9,0.6191,0.9319,0.2187,21,14.27,-0.2103,-0.3013,2.403,4,0,1,0,1,1,1,-1.0,stop_loss,26
