symbol,entry_time,side,burst_share,pnl_r,exit_reason,strategy_version
ENAUSDT,2026-01-27T21:00:00+00:00,long,0.7195,-0.6891,time_8h,v66_burst
FILUSDT,2026-01-28T17:00:00+00:00,long,0.4398,0.5904,time_8h,v66_burst
WLDUSDT,2026-01-28T22:00:00+00:00,long,3.4939,-0.4408,time_8h,v66_burst
ENAUSDT,2026-02-02T04:00:00+00:00,long,0.5766,-1.0385,stop,v66_burst
ENAUSDT,2026-02-03T21:00:00+00:00,long,0.6763,-1.0445,stop,v66_burst
TONUSDT,2026-02-05T19:00:00+00:00,long,0.4926,-1.0669,stop,v66_burst
ENAUSDT,2026-02-06T06:00:00+00:00,long,0.4165,-1.0578,stop,v66_burst
WLDUSDT,2026-02-06T10:00:00+00:00,long,0.585,7.541,time_8h,v66_burst
WLDUSDT,2026-02-12T11:00:00+00:00,long,4.0118,-1.1047,stop,v66_burst
ENAUSDT,2026-02-13T16:00:00+00:00,long,0.874,0.5952,time_8h,v66_burst
NEARUSDT,2026-02-14T09:00:00+00:00,long,0.6407,2.7866,time_8h,v66_burst
FILUSDT,2026-02-14T09:00:00+00:00,long,0.8846,4.4428,time_8h,v66_burst
WLDUSDT,2026-02-14T10:00:00+00:00,long,0.733,4.7106,time_8h,v66_burst
1000LUNCUSDT,2026-02-14T12:00:00+00:00,long,0.3714,-1.1526,stop,v66_burst
1000PEPEUSDT,2026-02-14T12:00:00+00:00,long,0.7584,-1.0757,stop,v66_burst
1000LUNCUSDT,2026-02-19T22:00:00+00:00,long,0.6651,-0.266,time_8h,v66_burst
WLDUSDT,2026-02-21T15:00:00+00:00,long,0.5417,-1.1354,stop,v66_burst
XRPUSDT,2026-02-21T15:00:00+00:00,long,0.3546,-1.1279,stop,v66_burst
1000PEPEUSDT,2026-02-23T07:00:00+00:00,long,0.4649,1.2014,time_8h,v66_burst
1000PEPEUSDT,2026-02-25T02:00:00+00:00,long,1.413,-1.0505,stop,v66_burst
