symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
TAOUSDT,2026-03-15T14:09:59.999000+00:00,2026-03-15T16:19:59.999000+00:00,268.463682,271.26359357142854,0.499,1259.72,vol_trail,8,82.2,26,-0.2758,1.4238,0.04,2.1464285714285722,64310.9
RENDERUSDT,2026-03-15T21:44:59.999000+00:00,2026-03-15T22:09:59.999000+00:00,1.9073814,1.8809094571428573,-1.0624,-2732.91,stop_loss,7,80.4,5,-1.0111,0.0,0.04,0.010285714285714247,61492.13
NEARUSDT,2026-03-16T01:54:59.999000+00:00,2026-03-16T02:29:59.999000+00:00,1.3692738,1.3551574857142856,-1.0851,-2668.96,stop_loss,1,64.8,7,-0.8842,0.1474,0.04,0.005428571428571434,58711.49
ZECUSDT,2026-03-16T04:49:59.999000+00:00,2026-03-16T06:09:59.999000+00:00,237.917574,233.99640564285716,-1.0522,-2471.0,stop_loss,1,61.0,16,-1.0113,0.1855,0.04,1.5307142857142821,56111.31
FETUSDT,2026-03-16T05:49:59.999000+00:00,2026-03-16T07:54:59.999000+00:00,0.20294058,0.20623731571428572,0.9493,2226.93,vol_trail,2,68.4,25,-0.3259,2.5185,0.04,0.001350000000000004,58338.24
TAOUSDT,2026-03-16T09:44:59.999000+00:00,2026-03-16T12:14:59.999000+00:00,285.997188,286.4762647142857,0.0588,137.25,vol_trail,2,67.8,30,-0.514,1.1304,0.04,2.381428571428574,58387.96
FETUSDT,2026-03-16T12:04:59.999000+00:00,2026-03-16T12:19:59.999000+00:00,0.2215443,0.22248406571428572,0.134,312.33,vol_trail,6,77.6,3,-0.0798,1.037,0.04,0.0025071428571428528,58700.29
FETUSDT,2026-03-16T16:14:59.999000+00:00,2026-03-16T18:14:59.999000+00:00,0.23644728,0.24459392857142856,0.9784,2297.22,vol_trail,2,68.5,24,0.0,2.3739,0.04,0.0032857142857142846,60967.09
QNTUSDT,2026-03-20T02:44:59.999000+00:00,2026-03-20T05:19:59.999000+00:00,76.455288,77.39594628571429,1.2165,2963.48,vol_trail,2,68.1,31,0.0,2.4307,0.04,0.297857142857144,63722.41
TAOUSDT,2026-03-20T05:09:59.999000+00:00,2026-03-20T06:59:59.999000+00:00,301.290246,301.369714,-0.0055,-13.35,vol_trail,1,65.8,22,-0.5827,0.5758,0.04,4.09142857142857,63709.07
FETUSDT,2026-03-20T01:39:59.999000+00:00,2026-03-20T07:04:59.999000+00:00,0.21964392,0.23612419428571427,4.3049,10498.3,vol_trail,1,64.1,65,-0.5521,5.5737,0.04,0.0015214285714285664,74207.37
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,2578.5,vol_trail,8,81.0,60,-0.4159,1.6232,0.04,0.39428571428571296,76677.79
FETUSDT,2026-03-20T21:54:59.999000+00:00,2026-03-20T21:59:59.999000+00:00,0.2260452,0.22651183142857143,0.0991,303.72,vol_trail,5,76.3,1,0.0,0.9515,0.04,0.0014714285714285719,76806.05
QNTUSDT,2026-03-20T21:14:59.999000+00:00,2026-03-20T23:14:59.999000+00:00,79.605918,79.79832285714286,0.1293,396.45,vol_trail,1,61.4,24,0.0,0.669,0.04,0.4842857142857134,77202.5
TAOUSDT,2026-03-24T02:04:59.999000+00:00,2026-03-24T03:49:59.999000+00:00,301.90036799999996,308.3511745714286,0.8152,2517.45,vol_trail,5,76.0,21,-0.1899,1.4065,0.04,3.09714285714285,79665.77
QNTUSDT,2026-03-24T10:04:59.999000+00:00,2026-03-24T13:09:59.999000+00:00,73.654728,74.35726842857142,0.771,2456.75,vol_trail,1,65.0,37,-0.1959,1.8897,0.04,0.3471428571428561,82000.82
TAOUSDT,2026-03-24T16:14:59.999000+00:00,2026-03-24T20:49:59.999000+00:00,315.933174,329.65691257142856,2.358,7734.35,vol_trail,1,66.8,55,-0.5628,3.9968,0.04,2.3028571428571394,89489.91
QNTUSDT,2026-03-24T20:24:59.999000+00:00,2026-03-24T21:14:59.999000+00:00,74.19483600000001,74.44510799999999,0.3254,1066.43,vol_trail,2,67.8,10,0.0,2.1319,0.04,0.26642857142857373,90556.34
TAOUSDT,2026-03-25T07:14:59.999000+00:00,2026-03-25T08:59:59.999000+00:00,343.878762,345.9600798571429,0.3521,1275.25,vol_trail,8,82.3,21,-0.4498,1.0074,0.04,2.1878571428571507,91729.1
CHZUSDT,2026-03-28T04:09:59.999000+00:00,2026-03-28T05:09:59.999000+00:00,0.036067212,0.03565643871428571,-1.0767,-3950.44,stop_loss,1,66.1,12,-0.9586,0.0,0.04,0.00015857142857143004,87628.44
CHZUSDT,2026-03-30T00:09:59.999000+00:00,2026-03-30T00:39:59.999000+00:00,0.04045809,0.04067400642857143,0.3284,1151.01,vol_trail,1,60.8,6,-0.1163,1.4955,0.04,0.00024071428571428556,88673.41
CHZUSDT,2026-03-30T04:19:59.999000+00:00,2026-03-30T08:04:59.999000+00:00,0.042328464,0.04367983371428571,1.9523,6924.51,vol_trail,6,78.7,45,-0.4984,2.6094,0.04,0.00027285714285714413,95498.87
CHZUSDT,2026-03-30T11:14:59.999000+00:00,2026-03-30T12:04:59.999000+00:00,0.044488896,0.04341238721428571,-1.0351,-3953.85,stop_loss,2,70.3,10,-0.8121,0.2455,0.04,0.0004235714285714274,91472.81
BNBUSDT,2026-04-04T06:19:59.999000+00:00,2026-04-04T07:34:59.999000+00:00,592.138404,590.7000506428571,-1.418,-5188.45,stop_loss,7,80.4,15,-1.2731,0.0,0.04,0.48071428571429514,85473.1
NMRUSDT,2026-04-06T00:09:59.999000+00:00,2026-04-06T02:54:59.999000+00:00,7.7375472,7.736880885714286,-0.0511,-174.54,vol_trail,1,60.3,33,-0.5662,0.7631,0.04,0.032499999999999876,85152.04
NMRUSDT,2026-04-06T08:04:59.999000+00:00,2026-04-06T08:19:59.999000+00:00,7.978595400000001,7.859356385714285,-1.0578,-3602.82,stop_loss,1,65.2,3,-0.9132,0.0,0.04,0.04642857142857139,81443.87
ZECUSDT,2026-04-07T09:04:59.999000+00:00,2026-04-07T10:09:59.999000+00:00,268.27364400000005,264.94378635714287,-1.0701,-3486.04,stop_loss,2,69.4,13,-0.7353,0.7601,0.04,1.289285714285707,77835.81
WLDUSDT,2026-04-07T18:24:59.999000+00:00,2026-04-07T18:59:59.999000+00:00,0.25395078,0.24983216642857142,-1.0531,-3278.63,stop_loss,7,79.1,7,-0.9458,0.3236,0.04,0.0016071428571428664,74468.63
DOTUSDT,2026-04-07T21:39:59.999000+00:00,2026-04-07T22:39:59.999000+00:00,1.2642528,1.2957408000000001,2.1106,6286.88,vol_trail,5,76.5,12,0.0,2.8683,0.04,0.005857142857142815,80639.78
DOTUSDT,2026-04-09T15:14:59.999000+00:00,2026-04-09T15:34:59.999000+00:00,1.2612522,1.2673893285714286,0.4584,1478.75,vol_trail,7,79.4,4,0.0,1.8118,0.04,0.00485714285714283,81967.76
DOTUSDT,2026-04-09T19:09:59.999000+00:00,2026-04-09T22:19:59.999000+00:00,1.30026,1.3355185571428572,2.4882,8158.21,vol_trail,1,66.0,38,-0.5026,3.0154,0.04,0.0055714285714285605,89988.23
DASHUSDT,2026-04-10T02:09:59.999000+00:00,2026-04-10T04:09:59.999000+00:00,38.327664,38.3498285,0.0053,19.06,vol_trail,8,81.9,24,-0.615,1.2516,0.04,0.37071428571428655,89940.3
DASHUSDT,2026-04-10T08:39:59.999000+00:00,2026-04-10T10:09:59.999000+00:00,40.648128,41.889120500000004,0.8587,3089.34,vol_trail,7,79.8,18,-0.5199,1.7777,0.04,0.5692857142857152,92983.4
DASHUSDT,2026-04-10T21:59:59.999000+00:00,2026-04-11T00:29:59.999000+00:00,45.929184,46.80777942857143,0.8004,2976.82,vol_trail,6,77.3,30,-0.784,1.4373,0.04,0.42857142857142755,95888.48
TONUSDT,2026-04-11T07:24:59.999000+00:00,2026-04-11T07:54:59.999000+00:00,1.31516298,1.3207072342857145,0.6777,2599.51,vol_trail,5,76.6,6,0.0,1.4787,0.04,0.002921428571428567,98177.18
TONUSDT,2026-04-11T11:14:59.999000+00:00,2026-04-11T12:59:59.999000+00:00,1.38387672,1.3900147985714286,0.309,1212.82,vol_trail,1,60.0,21,0.0,1.6368,0.04,0.007135714285714293,99195.91
DASHUSDT,2026-04-11T09:39:59.999000+00:00,2026-04-11T12:59:59.999000+00:00,46.369272,46.365010857142856,-0.0175,-68.73,vol_trail,1,59.6,40,-0.4179,0.8428,0.04,0.5742857142857142,99127.19
DASHUSDT,2026-04-11T18:29:59.999000+00:00,2026-04-11T18:44:59.999000+00:00,47.079414,46.410716,-1.0609,-4200.91,stop_loss,5,75.5,3,-0.6,0.2769,0.04,0.26000000000000006,94664.38
TONUSDT,2026-04-11T17:24:59.999000+00:00,2026-04-11T19:54:59.999000+00:00,1.4383876199999999,1.4883736942857144,2.5524,10120.55,vol_trail,1,62.0,30,0.0,3.7316,0.04,0.00772857142857145,104784.93
WLDUSDT,2026-04-13T01:14:59.999000+00:00,2026-04-13T01:44:59.999000+00:00,0.29515902,0.2978689857142857,0.6469,2711.28,vol_trail,9,84.7,6,0.0,1.13,0.04,0.001592857142857142,107356.41
APTUSDT,2026-04-13T12:49:59.999000+00:00,2026-04-13T13:49:59.999000+00:00,0.830166,0.8344545042857142,0.8364,3586.13,vol_trail,7,79.6,12,0.0,2.9282,0.04,0.0018714285714285714,110340.7
WLDUSDT,2026-04-13T11:44:59.999000+00:00,2026-04-13T14:24:59.999000+00:00,0.29765951999999996,0.3044962314285714,1.8949,8137.02,vol_trail,2,69.1,32,0.0,4.3273,0.04,0.0014142857142857052,118295.37
ENAUSDT,2026-04-13T13:49:59.999000+00:00,2026-04-13T14:59:59.999000+00:00,0.09363872399999999,0.09426257228571429,0.3125,1335.54,vol_trail,9,84.9,14,-0.3923,0.8491,0.04,0.0007442857142857141,119630.91
TONUSDT,2026-04-13T14:09:59.999000+00:00,2026-04-13T16:09:59.999000+00:00,1.43458686,1.418391265,-1.0774,-4755.1,stop_loss,2,69.6,24,-0.9024,0.7488,0.04,0.00625000000000001,114875.81
ENAUSDT,2026-04-13T18:34:59.999000+00:00,2026-04-13T19:14:59.999000+00:00,0.094828962,0.09518060292857143,0.2192,1007.14,vol_trail,8,81.9,8,0.0,1.1995,0.04,0.0005635714285714312,115743.78
WLDUSDT,2026-04-13T21:24:59.999000+00:00,2026-04-13T22:19:59.999000+00:00,0.30186036,0.30481759571428574,0.987,4569.67,vol_trail,1,58.9,11,-0.315,2.1,0.04,0.0011428571428571438,119957.29
ENAUSDT,2026-04-13T22:14:59.999000+00:00,2026-04-13T22:19:59.999000+00:00,0.097789554,0.0983189037142857,0.3246,1499.79,vol_trail,9,84.5,1,0.0,0.9568,0.04,0.000597857142857146,121457.08
APTUSDT,2026-04-13T22:19:59.999000+00:00,2026-04-13T22:39:59.999000+00:00,0.8684736599999999,0.8702330614285715,0.1765,857.44,vol_trail,9,82.7,4,0.0,0.7355,0.04,0.003099999999999984,122069.53
WLDUSDT,2026-04-14T02:19:59.999000+00:00,2026-04-14T02:29:59.999000+00:00,0.3175635,0.3137943714285714,-1.0734,-5241.3,stop_loss,5,77.1,2,-0.9059,0.0,0.04,0.0014571428571428632,116636.68
ETHUSDT,2026-04-14T08:34:59.999000+00:00,2026-04-14T10:39:59.999000+00:00,2390.3879819999997,2377.795060142857,-1.1739,-5476.62,stop_loss,6,78.4,25,-1.1255,0.1641,0.04,4.655714285714274,110728.89
1000PEPEUSDT,2026-04-16T02:09:59.999000+00:00,2026-04-16T02:29:59.999000+00:00,0.00379365858,0.0038178077142857142,0.5115,2265.33,vol_trail,2,68.6,4,0.0,2.2094,0.04,1.7542857142857135e-05,112821.82
XLMUSDT,2026-04-16T02:29:59.999000+00:00,2026-04-16T03:34:59.999000+00:00,0.159021798,0.15954022842857143,0.5322,2401.59,vol_trail,7,79.6,13,0.0,2.097,0.04,0.0003357142857142864,114475.51
PENDLEUSDT,2026-04-16T02:34:59.999000+00:00,2026-04-16T08:04:59.999000+00:00,1.1123224200000001,1.1571113885714284,4.0114,18041.04,vol_trail,1,66.4,66,0.0,5.3735,0.04,0.004414285714285672,132085.06
DOTUSDT,2026-04-16T04:09:59.999000+00:00,2026-04-16T08:34:59.999000+00:00,1.205241,1.2493929285714287,3.4872,15967.85,vol_trail,1,66.1,53,0.0,5.44,0.04,0.0050000000000000044,148052.91
ENAUSDT,2026-04-16T03:24:59.999000+00:00,2026-04-16T08:39:59.999000+00:00,0.10141027799999999,0.10301939199999999,1.2138,5449.1,vol_trail,1,63.8,63,-0.0155,2.2524,0.04,0.0005149999999999986,153502.0
ARBUSDT,2026-04-16T04:39:59.999000+00:00,2026-04-16T08:54:59.999000+00:00,0.11722344,0.11801924857142858,0.7171,3277.87,vol_trail,1,65.8,51,-0.3862,2.3172,0.04,0.00041428571428571626,156779.87
ARBUSDT,2026-04-16T12:04:59.999000+00:00,2026-04-16T13:09:59.999000+00:00,0.12002399999999999,0.12154711428571428,1.0964,6856.43,vol_trail,8,81.8,13,-0.2987,2.5387,0.04,0.0005357142857142842,162667.82
SOLUSDT,2026-04-16T13:09:59.999000+00:00,2026-04-16T13:19:59.999000+00:00,85.627122,85.82568857142857,0.3717,2418.26,vol_trail,5,75.8,2,0.0,1.1618,0.04,0.17214285714285488,164293.81
PENDLEUSDT,2026-04-16T12:39:59.999000+00:00,2026-04-16T13:34:59.999000+00:00,1.1762352,1.1901690614285716,1.1083,6919.41,vol_trail,2,68.2,11,-0.1241,2.3988,0.04,0.0048357142857142765,170525.38
ENAUSDT,2026-04-16T13:19:59.999000+00:00,2026-04-16T13:44:59.999000+00:00,0.105581112,0.10422129442857142,-1.0674,-7014.87,stop_loss,6,78.7,5,-0.7588,0.0,0.04,0.000527142857142858,163510.51
ADAUSDT,2026-04-16T12:04:59.999000+00:00,2026-04-16T13:54:59.999000+00:00,0.24944988,0.24776115214285716,-1.1327,-7103.53,stop_loss,8,80.9,22,-1.0697,2.8944,0.04,0.0006357142857142851,156406.99
DOTUSDT,2026-04-16T13:14:59.999000+00:00,2026-04-16T13:54:59.999000+00:00,1.2962592,1.2777086928571428,-1.0604,-6875.15,stop_loss,8,81.1,8,-0.998,0.3881,0.04,0.007214285714285744,149531.83
XRPUSDT,2026-04-16T13:29:59.999000+00:00,2026-04-16T13:54:59.999000+00:00,1.4287857000000002,1.4188590285714286,-1.1291,-7409.47,stop_loss,7,80.5,5,-2.9817,0.1817,0.04,0.003742857142857143,142122.36
BNBUSDT,2026-04-16T16:19:59.999000+00:00,2026-04-16T16:54:59.999000+00:00,628.295634,624.1772824285714,-1.1374,-6465.9,stop_loss,2,69.4,7,-0.7886,0.0,0.04,1.5471428571428467,135240.91
SOLUSDT,2026-04-16T18:19:59.999000+00:00,2026-04-16T18:49:59.999000+00:00,87.537504,88.07166785714287,0.5409,2922.94,vol_trail,9,85.0,6,-0.3828,0.9406,0.04,0.36571428571428705,137644.13
XLMUSDT,2026-04-16T18:49:59.999000+00:00,2026-04-16T20:09:59.999000+00:00,0.16663332,0.1678778462857143,0.6942,3822.1,vol_trail,5,76.5,16,-0.0416,1.0155,0.04,0.0006735714285714262,141221.06
ARBUSDT,2026-04-16T18:49:59.999000+00:00,2026-04-16T20:19:59.999000+00:00,0.12692538,0.13181291785714286,2.2532,12154.95,vol_trail,9,82.8,18,0.0,2.8467,0.04,0.0008571428571428589,153376.01
PENDLEUSDT,2026-04-16T18:19:59.999000+00:00,2026-04-16T20:34:59.999000+00:00,1.2334466400000001,1.2748592628571427,1.9464,10529.13,vol_trail,1,53.8,27,0.0,3.2647,0.04,0.008392857142857138,163905.14
ARBUSDT,2026-04-17T06:14:59.999000+00:00,2026-04-17T06:29:59.999000+00:00,0.130026,0.13063101142857142,0.3254,2133.47,vol_trail,9,83.3,3,0.0,0.9532,0.04,0.0006714285714285688,165810.08
PENDLEUSDT,2026-04-17T06:59:59.999000+00:00,2026-04-17T09:19:59.999000+00:00,1.27845564,1.3109163357142857,2.0121,13345.29,vol_trail,2,68.2,28,0.0,3.8007,0.04,0.00633571428571427,178424.0
XLMUSDT,2026-04-17T08:34:59.999000+00:00,2026-04-17T10:29:59.999000+00:00,0.16751349599999998,0.1680206748571429,0.424,2808.04,vol_trail,2,69.0,23,-0.1179,2.0042,0.04,0.00040714285714285196,180955.3
